date, pm25, o3, no2, so2, co
2020/2/14, 45, 17, 19, , 
2020/2/15, 23, 25, 10, , 
2020/2/16, 23, 27, 11, , 
2020/2/17, 54, 26, 10, , 
2020/2/18, 22, 25, 12, , 
2020/2/19, 37, 25, 13, , 
2020/2/20, 20, 23, 16, , 
2020/2/21, 20, 23, 16, , 
2020/2/22, 33, 24, 13, , 
2020/2/23, 44, 30, 12, , 
2020/2/24, 46, 24, 20, , 3
2020/2/25, 62, 28, 15, , 3
2020/2/26, 30, 24, 14, , 2
2020/2/27, 29, 27, 10, , 1
2020/2/28, 16, 27, 12, , 2
2020/2/29, 14, 22, 16, , 2
2020/3/1, 30, 31, 21, , 3
2020/1/2, 29, 20, 12, , 2
2020/1/3, 33, 14, 18, , 3
2020/1/4, 59, 17, 14, , 2
2020/1/5, 24, 22, 8, , 2
2020/1/6, 16, 22, 12, , 2
2020/1/7, 27, 16, 20, , 2
2020/1/8, 39, 21, 12, , 2
2020/1/9, 31, 18, 20, , 2
2020/1/10, 26, 20, 14, , 3
2020/1/11, 38, 20, 11, , 2
2020/1/12, 18, 21, 10, , 2
2020/1/13, 22, 17, 20, , 3
2020/1/14, 42, 11, 18, , 2
2020/1/15, 55, 15, 17, , 2
2020/1/16, 37, 19, 13, , 2
2020/1/17, 30, 20, 18, , 2
2020/1/18, 22, 23, 15, , 2
2020/1/19, 24, 24, 9, , 2
2020/1/20, 21, 20, 23, , 2
2020/1/21, 21, 21, 28, , 3
2020/1/22, 32, 21, 17, , 2
2020/1/23, 60, 12, 27, 2, 4
2020/1/24, 66, 21, 15, 1, 3
2020/1/25, 53, 20, 14, , 2
2020/1/26, 47, 12, 12, , 3
2020/1/27, 43, 12, 11, , 2
2020/1/28, 21, 23, 13, , 2
2020/1/29, 15, 24, 18, , 2
2020/1/30, 21, 16, 24, , 2
2020/1/31, 35, 20, 17, , 2
2020/2/1, 42, 22, 18, , 3
2019/10/2, 26, 11, 8, , 2
2019/10/3, 28, 14, 10, , 2
2019/10/4, 22, 19, 8, , 2
2019/10/5, 18, 20, 8, , 
2019/10/6, 18, 25, 5, , 
2019/10/7, 22, 16, 13, , 2
2019/10/8, 31, 15, 18, , 3
2019/10/9, 36, 15, 13, , 3
2019/10/10, 24, 15, 12, , 2
2019/10/11, 31, 22, 10, , 2
2019/10/12, 24, 25, 6, , 1
2019/10/13, 18, 32, 7, 1, 1
2019/10/14, 20, 21, 5, , 1
2019/10/15, 14, 18, 13, , 2
2019/10/16, 25, 23, 11, , 2
2019/10/17, 31, 16, 6, , 1
2019/10/18, 19, 17, 9, , 2
2019/10/19, 20, 17, 14, , 3
2019/10/20, 25, 18, 13, , 4
2019/10/21, 25, 25, 13, , 4
2019/10/22, 46, 25, 7, , 2
2019/10/23, 22, 21, 10, , 2
2019/10/24, 18, 21, 11, , 2
2019/10/25, 29, 15, 14, , 2
2019/10/26, 22, 22, 9, , 2
2019/10/27, 25, 21, 6, , 2
2019/10/28, 18, 20, 15, 1, 3
2019/10/29, 42, 19, 19, , 4
2019/10/30, 58, 13, 10, , 2
2019/10/31, 25, 7, 10, , 2
2019/11/1, 19, 16, 8, , 1
2019/11/2, 21, 17, 8, , 2
2019/11/3, 36, 20, 6, , 2
2019/11/4, 26, 20, 7, , 2
2019/11/5, 17, 17, 11, , 2
2019/11/6, 33, 19, 13, , 2
2019/11/7, 38, 16, 14, , 2
2019/11/8, 23, 15, 13, , 2
2019/11/9, 18, 17, 13, 1, 2
2019/11/10, 26, 16, 10, , 2
2019/11/11, 38, 18, 10, , 1
2019/11/12, 33, 18, 13, , 1
2019/11/13, 19, 20, 16, , 2
2019/11/14, 16, 21, 16, 1, 2
2019/11/15, 45, 18, 9, , 2
2019/11/16, 63, 20, 12, , 2
2019/11/17, 18, 19, 14, , 3
2019/11/18, 15, 18, 17, , 4
2019/11/19, 32, 12, 20, , 3
2019/11/20, 36, 9, 22, , 4
2019/11/21, 76, 17, 15, , 3
2019/11/22, 57, 19, 8, , 2
2019/11/23, 23, 17, 10, , 2
2019/11/24, 32, 12, 14, , 3
2019/11/25, 65, 10, 14, , 3
2019/11/26, 70, 13, 19, , 5
2019/11/27, 58, 12, 10, , 2
2019/11/28, 55, 16, 8, , 2
2019/11/29, 25, 18, 13, , 2
2019/11/30, 30, 18, 11, , 2
2019/12/1, 20, 23, 7, , 1
2019/12/2, 38, 16, 16, , 2
2019/12/3, 21, 15, 26, , 3
2019/12/4, 51, 12, 16, , 2
2019/12/5, 49, 18, 15, , 2
2019/12/6, 32, 17, 15, , 2
