date, pm25, pm10, o3, no2, co, so2
16-07-13,29, ,25,6, , 
16-07-14,23, ,25,2, , 
16-07-15,19, ,29,2, , 
16-07-16,20, ,27,1, , 
16-07-17,26, ,35,1, , 
16-07-18,38, ,36,6, , 
16-07-19,34, ,31,9, , 
16-07-20,30, ,30,4, , 
16-07-21,23, ,35,3, , 
16-07-22,22, ,34,8, , 
16-07-23,33, ,32,4, , 
16-07-24,30, ,30,4, , 
16-07-25,32, ,29,6, , 
16-07-26,28, ,29,5, , 
16-07-27,32, ,21,8, , 
16-07-28,34, ,22,7, , 
16-07-29,30, ,27,4, , 
16-07-30,32, ,38,1, , 
16-07-31,47, ,35,5, , 
16-08-01,49, ,30,5, , 
16-08-02,36, ,24,6, , 
16-08-03,22, ,21,4, , 
16-08-04,19, ,19,6, , 
16-08-05,26, ,20,6, , 
16-08-06,20, ,32,1, , 
16-08-07,20, ,35, , , 
16-08-08,32, ,36, , , 
16-08-09,38, ,36, , , 
16-08-10,29, ,32,3, , 
16-08-11,21, ,33,2, , 
16-08-12,18, ,33,6, , 
16-08-13,24, ,37,5, , 
16-08-14,33, ,37,2, , 
16-08-15,35, ,35,6, , 
16-08-16,26, ,32,4, , 
16-08-17,22, ,35,1, , 
16-08-18,20, ,36,5, , 
16-08-19,33, ,33,3, , 
16-08-20,25, ,37,6, , 
16-08-21,20, ,35,2, , 
16-08-22,26, ,33,3, , 
16-08-23,23, ,31,6, , 
16-08-24,28, ,31,4, , 
16-08-25,24, ,25,3, , 
16-08-26,18, ,33,1, , 
16-08-27,16, ,40, , , 
16-08-28,23, ,33, , , 
16-08-29,29, ,34,3, , 
16-08-30,23, ,29,6, , 
16-08-31,26, ,33,1, , 
16-09-01,20, ,33,4, , 
16-09-02,23, ,33,5, , 
16-09-03,27, ,34,5, , 
16-09-04,24, ,32,3, , 
16-09-05,29, ,33,3, , 
16-09-06,30, ,33,3, , 
16-09-07,23, ,34,1, , 
16-09-08,30, ,35, , , 
16-09-09,43, ,33,4, , 
16-09-10,34, ,32,2, , 
16-09-11,18, ,26,2, , 
16-09-12,17, ,29,1, , 
16-09-13,14, ,30,3, , 
16-09-14,16, ,34,4, , 
16-09-15,16, ,33,7, , 
16-09-16,24, ,33,3, , 
16-09-17,28, ,37,4, , 
16-09-18,29, ,34,3, , 
16-09-19,40, ,34,3, , 
16-09-20,32, ,36,4, , 
16-09-21,36, ,39,7, , 
16-09-22,49, ,33,7, , 
16-09-23,37, ,34,4, , 
16-09-24,28, ,33,3, , 
16-09-25,23, ,31,2, , 
16-09-26,26, ,33,4, , 
16-09-27,37, ,33, , , 
16-09-28,30, ,33,5, , 
16-09-29,35, ,34,3, , 
16-09-30,27, ,33,3, , 
16-10-01,28, ,34, , , 
16-04-03,43, ,53,6, , 
16-04-04,54, ,34,2, , 
16-04-05,51, ,29,2, , 
16-04-06,31, ,29,3, , 
16-04-07,34, ,30,3, , 
16-04-08,36, ,30,3, , 
16-04-09,39, ,24,4, , 
16-04-10,43, ,27,2, , 
16-04-11,30, ,19,2, , 
16-04-12,23, ,25,2, , 
16-04-13,19, ,27,2, , 
16-04-14,19, ,28,4, , 
16-04-15,21, ,28,3, , 
16-04-16,25, ,33,2, , 
16-04-17,26, ,28,1, , 
16-04-18,35, ,24, , , 
16-04-19,23, ,26,2, , 
16-04-20,20, ,30,4, , 
