State,County,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,COVID Deaths (Normalized by Population),COVID Cases (Normalized by Population)
Florida,Wakulla,0.867430083,0.131072792,0.000487329,0.001009795,0.0,0.0,5.9278579685230736e-05,0.0019265538397699989
Georgia,Chatham,0.795511141,0.20175287600000005,0.002279362,0.000456621,0.0,0.0,0.00012783747365511521,0.0047645371937947
Georgia,Clarke,0.777075431,0.219158122,0.0028456370000000003,0.00092081,0.0,0.0,0.00011688524206933633,0.004472808596519937
Georgia,Cobb,0.7662531159999999,0.229706503,0.003565547,0.000474834,0.0,0.0,0.0003223086243210141,0.006684286204796216
Georgia,DeKalb,0.601152781,0.389269406,0.008665818,0.000911994,0.0,0.0,0.00022784233310549102,0.007848048918934225
Georgia,Dougherty,0.700670131,0.296537648,0.002324057,0.000468165,0.0,0.0,0.0017622447587430077,0.02176088044022011
Georgia,Douglas,0.851812073,0.13719035,0.010317305,0.000680272,0.0,0.0,0.0002459974170271212,0.006635096998148186
Georgia,Fulton,0.580425634,0.398120616,0.019628513,0.001825236,0.0,0.0,0.00029513025677272244,0.00683969069597166
Georgia,Gwinnett,0.7229816729999999,0.269230045,0.007331661,0.000456621,0.0,0.0,0.00018477970627503334,0.008931375166889185
Georgia,Henry,0.791837815,0.193762657,0.013468073,0.000931455,0.0,0.0,0.00014068834972565773,0.005299261172999775
Georgia,Houston,0.757785135,0.237854298,0.003889758,0.00047081,0.0,0.0,0.00015203055814218654,0.004130163496196069
Georgia,Lowndes,0.788549073,0.210947402,0.0,0.000503525,0.0,0.0,0.000102209427116161,0.010536088445224264
Georgia,Pike,0.8947601620000001,0.098938578,0.005831776,0.000469484,0.0,0.0,0.00021094821221390148,0.004746334774812785
Georgia,Walker,0.747966074,0.250597145,0.0,0.0014367820000000002,0.0,0.0,0.00015768122589985807,0.004658763492495807
Hawaii,Honolulu,0.947848868,0.051684279000000014,0.0,0.000466853,0.0,0.0,1.2313211152075341e-05,0.0006762005124348041
Hawaii,Maui,0.964941732,0.032272515,0.002325347,0.000460405,0.0,0.0,3.583865437799029e-05,0.0007466386328747978
Idaho,Ada,0.778185742,0.200818425,0.017799486,0.003196347,0.0,0.0,4.7758764252357314e-05,0.0047509588091040654
Idaho,Bannock,0.857595379,0.133728822,0.00456621,0.004109589,0.0,0.0,1.1388483965014575e-05,0.0011844023323615161
Idaho,Butte,0.91820186,0.078056439,0.003278738,0.0004629630000000001,0.0,0.0,0.0,0.0
Idaho,Canyon,0.8101189209999999,0.172978548,0.013703675,0.003198856,0.0,0.0,3.045477683174606e-05,0.003915614164081636
Idaho,Franklin,0.8757530809999999,0.108229159,0.013237142,0.002780617,0.0,0.0,0.0,0.0018016719515710578
Illinois,Cook,0.434936497,0.528556279,0.03240013,0.004107094,0.0,0.0,0.0008894743208705314,0.017651822742776883
Illinois,DuPage,0.7679664390000001,0.219402504,0.012157572,0.000473485,0.0,0.0,0.0005114197206478127,0.00984157907339848
Illinois,Lake,0.882989778,0.101020756,0.015042497,0.00094697,0.0,0.0,0.0006001134185647526,0.01400073219579777
Illinois,Madison,0.601982434,0.377024228,0.019166854,0.001826484,0.0,0.0,0.0002115201569094982,0.0022305762001365264
Illinois,Winnebago,0.853121492,0.142161041,0.004257062,0.000460405,0.0,0.0,0.0003361975001061676,0.010779553529719859
Indiana,Allen,0.685199494,0.30603166800000003,0.008301985,0.000466853,0.0,0.0,0.0003005544438556389,0.007057756545627592
Indiana,Clark,0.730499063,0.260696153,0.008346908,0.000457875,0.0,0.0,0.0003719294686480364,0.005257730215888151
Indiana,Daviess,0.9670341999999998,0.021168372,0.010799423999999998,0.000998004,0.0,0.0,0.0004797457347605769,0.0041677910707325115
Indiana,LaPorte,0.8117799059999999,0.172662051,0.015098906,0.000459137,0.0,0.0,0.000494342863851796,0.010035160136191459
Indiana,Marion,0.493350301,0.480179405,0.025100432,0.0013698629999999998,0.0,0.0,0.000703931858566716,0.011805113510308092
