State,County,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,COVID Deaths (Normalized by Population),COVID Cases (Normalized by Population)
North Carolina,New Hanover,0.908897299,0.091102701,0.0,0.0,0.0,0.0,2.1324416883820312e-05,0.0043416512775458155
North Carolina,Pitt,0.865857137,0.134142863,0.0,0.0,0.0,0.0,3.8729238361863865e-05,0.003922718571223068
Ohio,Adams,0.9613098,0.0386902,0.0,0.0,0.0,0.0,3.610368979709727e-05,0.0007581774857390425
Ohio,Belmont,0.963496519,0.036503481,0.0,0.0,0.0,0.0,0.00031340476972211437,0.007969435572933767
Ohio,Columbiana,0.998536703,0.001463297,0.0,0.0,0.0,0.0,0.0005889108094579076,0.01186655281057684
Ohio,Portage,0.8830911229999999,0.116908877,0.0,0.0,0.0,0.0,0.00035699777184149297,0.0025728460108576565
Oklahoma,Sequoyah,0.885146247,0.114853753,0.0,0.0,0.0,0.0,7.216916452163872e-05,0.0009622555269551828
Pennsylvania,Bradford,0.913338663,0.08666133699999999,0.0,0.0,0.0,0.0,8.288712431410905e-05,0.0009614906420436648
Pennsylvania,Franklin,0.957493399,0.042506601,0.0,0.0,0.0,0.0,0.0002838215278628884,0.006063459913434434
South Carolina,Aiken,0.911507915,0.088492085,0.0,0.0,0.0,0.0,5.852333910763613e-05,0.002376047567770027
South Carolina,Berkeley,0.942939678,0.057060322,0.0,0.0,0.0,0.0,0.00010091835704914725,0.005133672945543577
South Carolina,Darlington,0.899428729,0.100571271,0.0,0.0,0.0,0.0,0.00021015341199075326,0.006784953015701462
South Dakota,Meade,0.979453206,0.020546794,0.0,0.0,0.0,0.0,3.529577862487647e-05,0.0017294931526189467
Tennessee,Montgomery,0.8706989390000001,0.129301061,0.0,0.0,0.0,0.0,3.3493944773269925e-05,0.0023589306818888674
Texas,Brewster,0.865662797,0.13433720300000002,0.0,0.0,0.0,0.0,0.00010866021949364336,0.0147777898511355
Vermont,Chittenden,0.906870524,0.093129476,0.0,0.0,0.0,0.0,0.00023813303698999838,0.003712432986921001
Virginia,Fauquier,0.957351431,0.042648569,0.0,0.0,0.0,0.0,9.828423801634327e-05,0.005897054280980596
Virginia,Frederick,0.847660372,0.152339628,0.0,0.0,0.0,0.0,6.717946995398205e-05,0.005654272054460157
Virginia,Richmond City,0.86571593,0.13428407,0.0,0.0,0.0,0.0,0.0007757951900698216,0.028150282611104957
Virginia,Rockbridge,0.945910935,0.054089065,0.0,0.0,0.0,0.0,0.00048730784565631513,0.031896513533867896
Virginia,Wythe,0.921372503,0.078627497,0.0,0.0,0.0,0.0,0.0010807418770046018,0.07715102496165109
West Virginia,Greenbrier,0.929294702,0.070705298,0.0,0.0,0.0,0.0,2.885003750504876e-05,0.0017021522127978767
West Virginia,Marshall,0.74064761,0.25935239,0.0,0.0,0.0,0.0,0.0,0.001408404572401821
Wisconsin,Ashland,0.960666117,0.039333883,0.0,0.0,0.0,0.0,0.0,0.00019277727798483485
Wisconsin,La Crosse,0.860634566,0.139365434,0.0,0.0,0.0,0.0,0.0,0.0038554094360086773
Wyoming,Big Horn,0.93630923,0.06369077,0.0,0.0,0.0,0.0,0.0,0.001696352841391009
