SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
50,1,9,Alabama,Blount County,12,9,3468,1726,1742,39,34,236,187
50,1,9,Alabama,Blount County,12,10,3868,1939,1929,31,27,168,165
50,1,9,Alabama,Blount County,12,11,3842,1902,1940,23,29,130,117
50,1,9,Alabama,Blount County,12,12,3986,2008,1978,31,22,118,84
50,1,9,Alabama,Blount County,12,13,3660,1792,1868,18,27,75,62
50,1,9,Alabama,Blount County,12,14,3311,1606,1705,32,27,68,30
50,1,9,Alabama,Blount County,12,15,3038,1398,1640,19,18,43,39
50,1,9,Alabama,Blount County,12,16,2049,901,1148,13,8,15,47
50,1,9,Alabama,Blount County,12,17,1316,602,714,5,10,10,7
50,1,9,Alabama,Blount County,12,18,1100,396,704,6,6,21,6
50,1,11,Alabama,Bullock County,12,0,10101,5508,4593,3713,3384,449,415
50,1,11,Alabama,Bullock County,12,1,565,269,296,199,208,46,57
50,1,11,Alabama,Bullock County,12,2,613,305,308,216,208,51,60
50,1,11,Alabama,Bullock County,12,3,616,345,271,247,209,56,43
50,1,11,Alabama,Bullock County,12,4,521,271,250,208,180,40,33
50,1,11,Alabama,Bullock County,12,5,602,352,250,266,201,16,15
50,1,11,Alabama,Bullock County,12,6,761,489,272,369,235,24,18
50,1,11,Alabama,Bullock County,12,7,713,443,270,287,208,72,37
50,1,11,Alabama,Bullock County,12,8,732,446,286,282,209,63,49
50,1,11,Alabama,Bullock County,12,9,662,390,272,233,179,23,54
50,1,11,Alabama,Bullock County,12,10,617,391,226,227,170,22,12
50,1,11,Alabama,Bullock County,12,11,578,325,253,221,211,4,8
50,1,11,Alabama,Bullock County,12,12,715,368,347,264,278,9,6
50,1,11,Alabama,Bullock County,12,13,695,358,337,242,247,4,9
50,1,11,Alabama,Bullock County,12,14,566,288,278,199,188,4,5
50,1,11,Alabama,Bullock County,12,15,431,179,252,96,169,5,4
50,1,11,Alabama,Bullock County,12,16,292,130,162,71,112,6,1
50,1,11,Alabama,Bullock County,12,17,231,97,134,52,93,2,2
50,1,11,Alabama,Bullock County,12,18,191,62,129,34,79,2,2
50,1,13,Alabama,Butler County,12,0,19448,9024,10424,3885,4862,153,136
50,1,13,Alabama,Butler County,12,1,1100,562,538,305,284,7,13
50,1,13,Alabama,Butler County,12,2,1180,612,568,276,285,18,20
50,1,13,Alabama,Butler County,12,3,1263,663,600,324,298,20,14
50,1,13,Alabama,Butler County,12,4,1149,625,524,364,300,12,6
50,1,13,Alabama,Butler County,12,5,1097,549,548,282,303,3,7
50,1,13,Alabama,Butler County,12,6,1136,580,556,269,304,8,6
50,1,13,Alabama,Butler County,12,7,1083,464,619,206,345,18,12
50,1,13,Alabama,Butler County,12,8,1244,584,660,273,349,15,5
50,1,13,Alabama,Butler County,12,9,1124,476,648,219,353,3,10
50,1,13,Alabama,Butler County,12,10,1169,532,637,189,290,10,6
50,1,13,Alabama,Butler County,12,11,1092,476,616,183,290,9,7
50,1,13,Alabama,Butler County,12,12,1341,582,759,221,313,7,15
50,1,13,Alabama,Butler County,12,13,1421,690,731,241,287,10,3
50,1,13,Alabama,Butler County,12,14,1263,546,717,201,309,3,3
50,1,13,Alabama,Butler County,12,15,982,452,530,138,175,3,3
50,1,13,Alabama,Butler County,12,16,714,307,407,90,133,1,1
50,1,13,Alabama,Butler County,12,17,529,197,332,62,111,3,2
50,1,13,Alabama,Butler County,12,18,561,127,434,42,133,3,3
50,1,15,Alabama,Calhoun County,12,0,113605,54481,59124,11220,12993,2358,2256
50,1,15,Alabama,Calhoun County,12,1,6568,3321,3247,836,798,220,250
50,1,15,Alabama,Calhoun County,12,2,6432,3226,3206,769,815,260,226
50,1,15,Alabama,Calhoun County,12,3,7118,3715,3403,855,813,289,255
50,1,15,Alabama,Calhoun County,12,4,7430,3784,3646,992,1018,221,240
50,1,15,Alabama,Calhoun County,12,5,7180,3548,3632,974,985,130,146
50,1,15,Alabama,Calhoun County,12,6,7923,3904,4019,952,1022,181,134
50,1,15,Alabama,Calhoun County,12,7,7046,3388,3658,771,871,199,215
50,1,15,Alabama,Calhoun County,12,8,6885,3320,3565,638,820,198,146
50,1,15,Alabama,Calhoun County,12,9,6760,3285,3475,676,821,137,150
50,1,15,Alabama,Calhoun County,12,10,6784,3301,3483,587,747,127,109
50,1,15,Alabama,Calhoun County,12,11,7124,3438,3686,611,770,108,97
50,1,15,Alabama,Calhoun County,12,12,7937,3806,4131,697,881,105,98
50,1,15,Alabama,Calhoun County,12,13,7871,3684,4187,671,853,66,65
50,1,15,Alabama,Calhoun County,12,14,6796,3089,3707,509,678,49,43
50,1,15,Alabama,Calhoun County,12,15,5504,2472,3032,336,450,15,30
