County,State,Land Area
"St. Joseph, IN",Indiana,457.85
"Scott, IN",Indiana,190.4
"Shelby, IN",Indiana,411.15
"Spencer, IN",Indiana,396.74
"Starke, IN",Indiana,309.13
"Steuben, IN",Indiana,308.94
"Sullivan, IN",Indiana,447.14
"Switzerland, IN",Indiana,220.63
"Tippecanoe, IN",Indiana,499.81
"Tipton, IN",Indiana,260.54
"Union, IN",Indiana,161.22
"Vanderburgh, IN",Indiana,233.48
"Vermillion, IN",Indiana,256.88
"Vigo, IN",Indiana,403.31
"Wabash, IN",Indiana,412.43
"Warren, IN",Indiana,364.68
"Warrick, IN",Indiana,384.82
"Washington, IN",Indiana,513.73
"Wayne, IN",Indiana,401.74
"Wells, IN",Indiana,368.09
"White, IN",Indiana,505.13
"Whitley, IN",Indiana,335.57
"Adair, IA",Iowa,569.27
"Adams, IA",Iowa,423.44
"Allamakee, IA",Iowa,639.08
"Appanoose, IA",Iowa,497.29
"Audubon, IA",Iowa,442.96
"Benton, IA",Iowa,716.27
"Black Hawk, IA",Iowa,565.77
"Boone, IA",Iowa,571.57
"Bremer, IA",Iowa,435.48
"Buchanan, IA",Iowa,571.02
"Buena Vista, IA",Iowa,574.92
"Butler, IA",Iowa,580.13
"Calhoun, IA",Iowa,569.97
"Carroll, IA",Iowa,569.44
"Cass, IA",Iowa,564.27
"Cedar, IA",Iowa,579.44
"Cerro Gordo, IA",Iowa,568.31
"Cherokee, IA",Iowa,576.91
"Chickasaw, IA",Iowa,504.38
"Clarke, IA",Iowa,431.17
"Clay, IA",Iowa,567.24
"Clayton, IA",Iowa,778.54
"Clinton, IA",Iowa,694.92
"Crawford, IA",Iowa,714.19
"Dallas, IA",Iowa,588.45
"Davis, IA",Iowa,502.19
"Decatur, IA",Iowa,531.88
"Delaware, IA",Iowa,577.76
"Des Moines, IA",Iowa,416.12
"Dickinson, IA",Iowa,380.61
"Dubuque, IA",Iowa,608.31
"Emmet, IA",Iowa,395.88
"Fayette, IA",Iowa,730.81
"Floyd, IA",Iowa,500.63
"Franklin, IA",Iowa,581.97
"Fremont, IA",Iowa,511.15
"Greene, IA",Iowa,569.57
"Grundy, IA",Iowa,501.86
"Guthrie, IA",Iowa,590.62
"Hamilton, IA",Iowa,576.75
"Hancock, IA",Iowa,571.01
"Hardin, IA",Iowa,569.31
"Harrison, IA",Iowa,696.85
"Henry, IA",Iowa,434.33
"Howard, IA",Iowa,473.25
"Humboldt, IA",Iowa,434.35
"Ida, IA",Iowa,431.51
"Iowa, IA",Iowa,586.46
"Jackson, IA",Iowa,636.04
"Jasper, IA",Iowa,730.42
"Jefferson, IA",Iowa,435.51
"Johnson, IA",Iowa,614.04
"Jones, IA",Iowa,575.62
"Keokuk, IA",Iowa,579.18
"Kossuth, IA",Iowa,972.72
"Lee, IA",Iowa,517.52
"Linn, IA",Iowa,716.88
"Louisa, IA",Iowa,401.77
"Lucas, IA",Iowa,430.59
"Lyon, IA",Iowa,587.65
"Madison, IA",Iowa,561.01
"Mahaska, IA",Iowa,570.86
"Marion, IA",Iowa,554.53
"Marshall, IA",Iowa,572.5
"Mills, IA",Iowa,437.44
"Mitchell, IA",Iowa,469.13
"Monona, IA",Iowa,694.07
"Monroe, IA",Iowa,433.72
"Montgomery, IA",Iowa,424.1
"Muscatine, IA",Iowa,437.47
"O'Brien, IA",Iowa,573.04
"Osceola, IA",Iowa,398.68
"Page, IA",Iowa,534.94
"Palo Alto, IA",Iowa,563.84
"Plymouth, IA",Iowa,862.89
"Pocahontas, IA",Iowa,577.24
"Polk, IA",Iowa,573.8
"Pottawattamie, IA",Iowa,950.28
"Poweshiek, IA",Iowa,584.93
"Ringgold, IA",Iowa,535.5
"Sac, IA",Iowa,575.01
"Scott, IA",Iowa,458.09
"Shelby, IA",Iowa,590.78
"Sioux, IA",Iowa,768.33
"Story, IA",Iowa,572.82
"Tama, IA",Iowa,721.01
"Taylor, IA",Iowa,531.9
"Union, IA",Iowa,423.65
"Van Buren, IA",Iowa,484.79
"Wapello, IA",Iowa,431.83
"Warren, IA",Iowa,569.83
"Washington, IA",Iowa,568.84
"Wayne, IA",Iowa,525.44
"Webster, IA",Iowa,715.62
"Winnebago, IA",Iowa,400.49
"Winneshiek, IA",Iowa,689.87
"Woodbury, IA",Iowa,872.83
"Worth, IA",Iowa,400.12
"Wright, IA",Iowa,580.42
"Allen, KS",Kansas,500.3
"Anderson, KS",Kansas,579.65
"Atchison, KS",Kansas,431.17
"Barber, KS",Kansas,1134.07
"Barton, KS",Kansas,895.4
"Bourbon, KS",Kansas,635.47
"Brown, KS",Kansas,570.87
"Butler, KS",Kansas,1429.86
"Chase, KS",Kansas,773.06
"Chautauqua, KS",Kansas,638.88
"Cherokee, KS",Kansas,587.57
"Cheyenne, KS",Kansas,1019.89
"Clark, KS",Kansas,974.63
"Clay, KS",Kansas,645.3
"Cloud, KS",Kansas,715.34
"Coffey, KS",Kansas,626.95
"Comanche, KS",Kansas,788.3
"Cowley, KS",Kansas,1125.75
"Crawford, KS",Kansas,589.76
"Decatur, KS",Kansas,893.52
"Dickinson, KS",Kansas,847.07
"Doniphan, KS",Kansas,393.41
"Douglas, KS",Kansas,455.87
"Edwards, KS",Kansas,621.89
"Elk, KS",Kansas,644.27
"Ellis, KS",Kansas,899.91
"Ellsworth, KS",Kansas,715.85
"Finney, KS",Kansas,1301.97
"Ford, KS",Kansas,1098.27
"Franklin, KS",Kansas,571.76
"Geary, KS",Kansas,384.62
"Gove, KS",Kansas,1071.67
"Graham, KS",Kansas,898.52
"Grant, KS",Kansas,574.8
"Gray, KS",Kansas,868.87
"Greeley, KS",Kansas,778.45
"Greenwood, KS",Kansas,1143.3
"Hamilton, KS",Kansas,996.51
"Harper, KS",Kansas,801.27
"Harvey, KS",Kansas,539.75
"Haskell, KS",Kansas,577.52
"Hodgeman, KS",Kansas,859.99
"Jackson, KS",Kansas,656.22
"Jefferson, KS",Kansas,532.57
"Jewell, KS",Kansas,909.78
"Johnson, KS",Kansas,473.38
"Kearny, KS",Kansas,870.54
"Kingman, KS",Kansas,863.36
"Kiowa, KS",Kansas,722.64
"Labette, KS",Kansas,645.3
"Lane, KS",Kansas,717.46
"Leavenworth, KS",Kansas,462.83
"Lincoln, KS",Kansas,719.4
"Linn, KS",Kansas,594.06
"Logan, KS",Kansas,1072.99
"Lyon, KS",Kansas,847.47
"McPherson, KS",Kansas,898.27
"Marion, KS",Kansas,944.29
"Marshall, KS",Kansas,900.18
"Meade, KS",Kansas,978.09
"Miami, KS",Kansas,575.66
"Mitchell, KS",Kansas,701.79
"Montgomery, KS",Kansas,643.53
"Morris, KS",Kansas,695.28
"Morton, KS",Kansas,729.73
"Nemaha, KS",Kansas,717.43
"Neosho, KS",Kansas,571.47
"Ness, KS",Kansas,1074.75
"Norton, KS",Kansas,878.13
"Osage, KS",Kansas,705.52
"Osborne, KS",Kansas,892.5
"Ottawa, KS",Kansas,720.73
"Pawnee, KS",Kansas,754.26
"Phillips, KS",Kansas,885.88
"Pottawatomie, KS",Kansas,841.02
"Pratt, KS",Kansas,735.05
"Rawlins, KS",Kansas,1069.42
"Reno, KS",Kansas,1255.35
"Republic, KS",Kansas,717.37
"Rice, KS",Kansas,726.24
"Riley, KS",Kansas,609.77
"Rooks, KS",Kansas,890.53
"Rush, KS",Kansas,717.76
"Russell, KS",Kansas,886.26
"Saline, KS",Kansas,720.23
"Scott, KS",Kansas,717.54
"Sedgwick, KS",Kansas,997.51
"Seward, KS",Kansas,639.5
"Shawnee, KS",Kansas,544.02
"Sheridan, KS",Kansas,895.96
"Sherman, KS",Kansas,1056.07
"Smith, KS",Kansas,895.47
"Stafford, KS",Kansas,792.05
"Stanton, KS",Kansas,680.35
"Stevens, KS",Kansas,727.29
"Sumner, KS",Kansas,1181.94
"Thomas, KS",Kansas,1074.69
"Trego, KS",Kansas,889.48
"Wabaunsee, KS",Kansas,794.3
"Wallace, KS",Kansas,913.65
"Washington, KS",Kansas,894.76
"Wichita, KS",Kansas,718.57
"Wilson, KS",Kansas,570.42
"Woodson, KS",Kansas,497.82
"Wyandotte, KS",Kansas,151.6
"Adair, KY",Kentucky,405.28
"Allen, KY",Kentucky,344.34
"Anderson, KY",Kentucky,201.83
"Ballard, KY",Kentucky,246.66
"Barren, KY",Kentucky,487.54
"Bath, KY",Kentucky,278.79
"Bell, KY",Kentucky,359
"Boone, KY",Kentucky,246.36
"Bourbon, KY",Kentucky,289.72
"Boyd, KY",Kentucky,159.86
"Boyle, KY",Kentucky,180.17
"Bracken, KY",Kentucky,205.61
"Breathitt, KY",Kentucky,492.41
"Breckinridge, KY",Kentucky,567.17
"Bullitt, KY",Kentucky,297.02
"Butler, KY",Kentucky,426.09
"Caldwell, KY",Kentucky,344.79
"Calloway, KY",Kentucky,385.02
"Campbell, KY",Kentucky,151.31
"Carlisle, KY",Kentucky,189.43
"Carroll, KY",Kentucky,128.57
"Carter, KY",Kentucky,409.5
"Casey, KY",Kentucky,444.23
"Christian, KY",Kentucky,717.5
"Clark, KY",Kentucky,252.46
"Clay, KY",Kentucky,469.25
"Clinton, KY",Kentucky,197.25
"Crittenden, KY",Kentucky,359.95
"Cumberland, KY",Kentucky,305.18
"Daviess, KY",Kentucky,458.35
"Edmonson, KY",Kentucky,302.88
"Elliott, KY",Kentucky,234.32
"Estill, KY",Kentucky,253.08
"Fayette, KY",Kentucky,283.65
"Fleming, KY",Kentucky,348.54
"Floyd, KY",Kentucky,393.35
"Franklin, KY",Kentucky,207.75
"Fulton, KY",Kentucky,205.5
"Gallatin, KY",Kentucky,101.23
"Garrard, KY",Kentucky,230.08
"Grant, KY",Kentucky,257.97
"Graves, KY",Kentucky,551.74
"Grayson, KY",Kentucky,496.7
"Green, KY",Kentucky,286.03
"Greenup, KY",Kentucky,344.4
"Hancock, KY",Kentucky,187.65
"Hardin, KY",Kentucky,623.28
"Harlan, KY",Kentucky,465.83
"Harrison, KY",Kentucky,306.36
"Hart, KY",Kentucky,412.09
"Henderson, KY",Kentucky,436.67
"Henry, KY",Kentucky,286.28
"Hickman, KY",Kentucky,242.27
"Hopkins, KY",Kentucky,542
"Jackson, KY",Kentucky,345.2
"Jefferson, KY",Kentucky,380.42
"Jessamine, KY",Kentucky,172.12
"Johnson, KY",Kentucky,261.95
"Kenton, KY",Kentucky,160.25
"Knott, KY",Kentucky,351.52
"Knox, KY",Kentucky,386.3
"Larue, KY",Kentucky,261.52
"Laurel, KY",Kentucky,433.95
"Lawrence, KY",Kentucky,415.6
"Lee, KY",Kentucky,208.86
"Leslie, KY",Kentucky,400.84
"Letcher, KY",Kentucky,337.91
"Lewis, KY",Kentucky,482.84
"Lincoln, KY",Kentucky,334.1
"Livingston, KY",Kentucky,313.13
"Logan, KY",Kentucky,552.13
"Lyon, KY",Kentucky,213.84
"McCracken, KY",Kentucky,248.74
"McCreary, KY",Kentucky,426.8
"McLean, KY",Kentucky,252.47
"Madison, KY",Kentucky,437.29
"Magoffin, KY",Kentucky,308.44
"Marion, KY",Kentucky,343.01
"Marshall, KY",Kentucky,301.25
"Martin, KY",Kentucky,229.61
"Mason, KY",Kentucky,240.13
"Meade, KY",Kentucky,305.42
"Menifee, KY",Kentucky,203.59
"Mercer, KY",Kentucky,248.8
"Metcalfe, KY",Kentucky,289.65
"Monroe, KY",Kentucky,329.37
"Montgomery, KY",Kentucky,197.37
"Morgan, KY",Kentucky,381.13
"Muhlenberg, KY",Kentucky,467.08
"Nelson, KY",Kentucky,417.51
"Nicholas, KY",Kentucky,195.17
"Ohio, KY",Kentucky,587.27
"Oldham, KY",Kentucky,187.22
"Owen, KY",Kentucky,351.1
"Owsley, KY",Kentucky,197.41
"Pendleton, KY",Kentucky,277.16
"Perry, KY",Kentucky,339.67
"Pike, KY",Kentucky,786.83
"Powell, KY",Kentucky,178.98
"Pulaski, KY",Kentucky,658.41
"Robertson, KY",Kentucky,99.91
"Rockcastle, KY",Kentucky,316.55
"Rowan, KY",Kentucky,279.8
"Russell, KY",Kentucky,253.66
"Scott, KY",Kentucky,281.77
"Shelby, KY",Kentucky,379.64
"Simpson, KY",Kentucky,234.2
"Spencer, KY",Kentucky,186.68
"Taylor, KY",Kentucky,266.33
"Todd, KY",Kentucky,374.5
"Trigg, KY",Kentucky,441.43
"Trimble, KY",Kentucky,151.65
"Union, KY",Kentucky,342.85
"Warren, KY",Kentucky,541.6
"Washington, KY",Kentucky,297.27
"Wayne, KY",Kentucky,458.17
"Webster, KY",Kentucky,331.94
"Whitley, KY",Kentucky,437.83
"Wolfe, KY",Kentucky,222.17
"Woodford, KY",Kentucky,188.78
"Acadia, LA",Louisiana,655.12
"Allen, LA",Louisiana,761.85
"Ascension, LA",Louisiana,289.98
"Assumption, LA",Louisiana,338.66
"Avoyelles, LA",Louisiana,832.43
"Beauregard, LA",Louisiana,1157.34
"Bienville, LA",Louisiana,811.27
"Bossier, LA",Louisiana,840.06
"Caddo, LA",Louisiana,878.54
"Calcasieu, LA",Louisiana,1063.66
"Caldwell, LA",Louisiana,529.43
"Cameron, LA",Louisiana,1284.89
"Catahoula, LA",Louisiana,708.03
"Claiborne, LA",Louisiana,754.88
"Concordia, LA",Louisiana,696.92
"De Soto, LA",Louisiana,875.58
"East Baton Rouge, LA",Louisiana,455.37
"East Carroll, LA",Louisiana,420.7
"East Feliciana, LA",Louisiana,453.41
"Evangeline, LA",Louisiana,662.38
"Franklin, LA",Louisiana,624.59
"Grant, LA",Louisiana,643.03
"Iberia, LA",Louisiana,574.11
"Iberville, LA",Louisiana,618.63
"Jackson, LA",Louisiana,569.18
"Jefferson, LA",Louisiana,295.63
"Jefferson Davis, LA",Louisiana,651.33
"Lafayette, LA",Louisiana,268.72
"Lafourche, LA",Louisiana,1068.21
"La Salle, LA",Louisiana,624.68
"Lincoln, LA",Louisiana,471.74
"Livingston, LA",Louisiana,648.17
"Madison, LA",Louisiana,624.44
"Morehouse, LA",Louisiana,794.93
"Natchitoches, LA",Louisiana,1252.25
"Orleans, LA",Louisiana,169.42
"Ouachita, LA",Louisiana,610.41
"Plaquemines, LA",Louisiana,779.91
"Pointe Coupee, LA",Louisiana,557.35
"Rapides, LA",Louisiana,1317.96
"Red River, LA",Louisiana,389.09
"Richland, LA",Louisiana,559.04
"Sabine, LA",Louisiana,866.66
"St. Bernard, LA",Louisiana,377.52
"St. Charles, LA",Louisiana,279.08
"St. Helena, LA",Louisiana,408.4
"St. James, LA",Louisiana,241.54
"St. John the Baptist, LA",Louisiana,213.07
"St. Landry, LA",Louisiana,923.88
"St. Martin, LA",Louisiana,737.65
"St. Mary, LA",Louisiana,555.38
"St. Tammany, LA",Louisiana,845.55
"Tangipahoa, LA",Louisiana,791.28
"Tensas, LA",Louisiana,602.78
"Terrebonne, LA",Louisiana,1231.82
"Union, LA",Louisiana,876.99
"Vermilion, LA",Louisiana,1173.2
"Vernon, LA",Louisiana,1327.91
"Washington, LA",Louisiana,669.53
"Webster, LA",Louisiana,593.03
"West Baton Rouge, LA",Louisiana,192.39
"West Carroll, LA",Louisiana,359.65
"West Feliciana, LA",Louisiana,403.21
"Winn, LA",Louisiana,950.09
"Androscoggin, ME",Maine,467.93
"Aroostook, ME",Maine,6671.33
"Cumberland, ME",Maine,835.24
"Franklin, ME",Maine,1696.61
"Hancock, ME",Maine,1586.89
"Kennebec, ME",Maine,867.52
"Knox, ME",Maine,365.13
"Lincoln, ME",Maine,455.82
"Oxford, ME",Maine,2076.84
"Penobscot, ME",Maine,3397.36
"Piscataquis, ME",Maine,3960.86
"Sagadahoc, ME",Maine,253.7
"Somerset, ME",Maine,3924.4
"Waldo, ME",Maine,729.92
"Washington, ME",Maine,2562.66
"York, ME",Maine,990.71
"Allegany, MD",Maryland,424.16
"Anne Arundel, MD",Maryland,414.9
"Baltimore, MD",Maryland,598.3
"Calvert, MD",Maryland,213.15
"Caroline, MD",Maryland,319.42
"Carroll, MD",Maryland,447.6
"Cecil, MD",Maryland,346.27
"Charles, MD",Maryland,457.75
"Dorchester, MD",Maryland,540.77
"Frederick, MD",Maryland,660.22
"Garrett, MD",Maryland,647.1
"Harford, MD",Maryland,437.09
"Howard, MD",Maryland,250.74
"Kent, MD",Maryland,277.03
"Montgomery, MD",Maryland,491.25
"Prince George's, MD",Maryland,482.69
"Queen Anne's, MD",Maryland,371.91
"St. Mary's, MD",Maryland,357.18
"Somerset, MD",Maryland,319.72
"Talbot, MD",Maryland,268.54
"Washington, MD",Maryland,457.78
"Wicomico, MD",Maryland,374.44
"Worcester, MD",Maryland,468.28
"Baltimore City, MD",Maryland,80.94
"Barnstable, MA",Massachusetts,393.72
"Berkshire, MA",Massachusetts,926.83
"Bristol, MA",Massachusetts,553.1
"Dukes, MA",Massachusetts,103.25
"Essex, MA",Massachusetts,492.56
"Franklin, MA",Massachusetts,699.32
"Hampden, MA",Massachusetts,617.14
"Hampshire, MA",Massachusetts,527.26
"Middlesex, MA",Massachusetts,817.82
"Nantucket, MA",Massachusetts,44.97
"Norfolk, MA",Massachusetts,396.11
"Plymouth, MA",Massachusetts,659.08
"Suffolk, MA",Massachusetts,58.15
"Worcester, MA",Massachusetts,1510.77
"Alcona, MI",Michigan,674.59
"Alger, MI",Michigan,915.07
"Allegan, MI",Michigan,825.23
"Alpena, MI",Michigan,571.86
"Antrim, MI",Michigan,475.7
"Arenac, MI",Michigan,363.19
"Baraga, MI",Michigan,898.26
"Barry, MI",Michigan,553.09
"Bay, MI",Michigan,442.3
"Benzie, MI",Michigan,319.7
"Berrien, MI",Michigan,567.75
"Branch, MI",Michigan,506.37
"Calhoun, MI",Michigan,706.23
"Cass, MI",Michigan,490.06
"Charlevoix, MI",Michigan,416.34
"Cheboygan, MI",Michigan,715.26
"Chippewa, MI",Michigan,1558.42
"Clare, MI",Michigan,564.32
"Clinton, MI",Michigan,566.41
"Crawford, MI",Michigan,556.28
"Delta, MI",Michigan,1171.1
"Dickinson, MI",Michigan,761.4
"Eaton, MI",Michigan,575.18
"Emmet, MI",Michigan,467.49
"Genesee, MI",Michigan,636.98
"Gladwin, MI",Michigan,501.78
"Gogebic, MI",Michigan,1101.85
"Grand Traverse, MI",Michigan,464.33
"Gratiot, MI",Michigan,568.46
"Hillsdale, MI",Michigan,598.13
"Houghton, MI",Michigan,1009.1
"Huron, MI",Michigan,835.71
"Ingham, MI",Michigan,556.12
"Ionia, MI",Michigan,571.3
"Iosco, MI",Michigan,549.1
"Iron, MI",Michigan,1166.15
"Isabella, MI",Michigan,572.68
"Jackson, MI",Michigan,701.67
"Kalamazoo, MI",Michigan,561.66
"Kalkaska, MI",Michigan,559.87
"Kent, MI",Michigan,846.95
"Keweenaw, MI",Michigan,540.11
"Lake, MI",Michigan,567.37
"Lapeer, MI",Michigan,643.01
"Leelanau, MI",Michigan,347.17
"Lenawee, MI",Michigan,749.56
"Livingston, MI",Michigan,565.25
"Luce, MI",Michigan,899.08
"Mackinac, MI",Michigan,1021.57
"Macomb, MI",Michigan,479.22
"Manistee, MI",Michigan,542.15
"Marquette, MI",Michigan,1808.4
"Mason, MI",Michigan,495.07
"Mecosta, MI",Michigan,555.07
"Menominee, MI",Michigan,1044.08
"Midland, MI",Michigan,516.25
"Missaukee, MI",Michigan,564.73
"Monroe, MI",Michigan,549.39
"Montcalm, MI",Michigan,705.4
"Montmorency, MI",Michigan,546.66
"Muskegon, MI",Michigan,499.25
"Newaygo, MI",Michigan,813.2
"Oakland, MI",Michigan,867.66
"Oceana, MI",Michigan,512.07
"Ogemaw, MI",Michigan,563.49
"Ontonagon, MI",Michigan,1311.23
"Osceola, MI",Michigan,566.39
"Oscoda, MI",Michigan,565.73
"Otsego, MI",Michigan,514.97
"Ottawa, MI",Michigan,563.47
"Presque Isle, MI",Michigan,658.72
"Roscommon, MI",Michigan,519.64
"Saginaw, MI",Michigan,800.11
"St. Clair, MI",Michigan,721.17
"St. Joseph, MI",Michigan,500.59
"Sanilac, MI",Michigan,962.57
"Schoolcraft, MI",Michigan,1171.36
"Shiawassee, MI",Michigan,530.67
"Tuscola, MI",Michigan,803.13
"Van Buren, MI",Michigan,607.47
"Washtenaw, MI",Michigan,705.97
"Wayne, MI",Michigan,612.08
"Wexford, MI",Michigan,565
"Aitkin, MN",Minnesota,1821.66
"Anoka, MN",Minnesota,423.01
"Becker, MN",Minnesota,1315.2
"Beltrami, MN",Minnesota,2504.94
"Benton, MN",Minnesota,408.3
"Big Stone, MN",Minnesota,499.02
"Blue Earth, MN",Minnesota,747.84
"Brown, MN",Minnesota,611.09
"Carlton, MN",Minnesota,861.38
"Carver, MN",Minnesota,354.33
"Cass, MN",Minnesota,2021.54
"Chippewa, MN",Minnesota,581.12
"Chisago, MN",Minnesota,414.86
"Clay, MN",Minnesota,1045.37
"Clearwater, MN",Minnesota,998.94
"Cook, MN",Minnesota,1452.28
"Cottonwood, MN",Minnesota,638.61
"Crow Wing, MN",Minnesota,999.1
"Dakota, MN",Minnesota,562.17
"Dodge, MN",Minnesota,439.28
"Douglas, MN",Minnesota,637.3
"Faribault, MN",Minnesota,712.48
"Fillmore, MN",Minnesota,861.3
"Freeborn, MN",Minnesota,707.09
"Goodhue, MN",Minnesota,756.84
"Grant, MN",Minnesota,548.16
"Hennepin, MN",Minnesota,553.59
"Houston, MN",Minnesota,552.06
"Hubbard, MN",Minnesota,925.68
"Isanti, MN",Minnesota,435.79
"Itasca, MN",Minnesota,2667.72
"Jackson, MN",Minnesota,702.98
"Kanabec, MN",Minnesota,521.59
"Kandiyohi, MN",Minnesota,796.79
"Kittson, MN",Minnesota,1098.8
"Koochiching, MN",Minnesota,3104.07
"Lac qui Parle, MN",Minnesota,765.02
"Lake, MN",Minnesota,2109.29
"Lake of the Woods, MN",Minnesota,1297.87
"Le Sueur, MN",Minnesota,448.76
"Lincoln, MN",Minnesota,536.76
"Lyon, MN",Minnesota,714.56
"McLeod, MN",Minnesota,491.47
"Mahnomen, MN",Minnesota,557.88
"Marshall, MN",Minnesota,1775.07
"Martin, MN",Minnesota,712.35
"Meeker, MN",Minnesota,608.18
"Mille Lacs, MN",Minnesota,572.31
"Morrison, MN",Minnesota,1125.06
"Mower, MN",Minnesota,711.33
"Murray, MN",Minnesota,704.7
"Nicollet, MN",Minnesota,448.49
"Nobles, MN",Minnesota,715.11
"Norman, MN",Minnesota,872.79
"Olmsted, MN",Minnesota,653.35
"Otter Tail, MN",Minnesota,1972.07
"Pennington, MN",Minnesota,616.57
"Pine, MN",Minnesota,1411.29
"Pipestone, MN",Minnesota,465.06
"Polk, MN",Minnesota,1971.13
"Pope, MN",Minnesota,669.71
"Ramsey, MN",Minnesota,152.21
"Red Lake, MN",Minnesota,432.41
"Redwood, MN",Minnesota,878.57
"Renville, MN",Minnesota,982.91
"Rice, MN",Minnesota,495.68
"Rock, MN",Minnesota,482.46
"Roseau, MN",Minnesota,1671.6
"St. Louis, MN",Minnesota,6247.4
"Scott, MN",Minnesota,356.48
"Sherburne, MN",Minnesota,432.92
"Sibley, MN",Minnesota,588.78
"Stearns, MN",Minnesota,1343.13
"Steele, MN",Minnesota,429.65
"Stevens, MN",Minnesota,563.6
"Swift, MN",Minnesota,742.08
"Todd, MN",Minnesota,944.98
"Traverse, MN",Minnesota,573.9
"Wabasha, MN",Minnesota,522.98
"Wadena, MN",Minnesota,536.27
"Waseca, MN",Minnesota,423.36
"Washington, MN",Minnesota,384.28
"Watonwan, MN",Minnesota,434.95
"Wilkin, MN",Minnesota,750.96
"Winona, MN",Minnesota,626.21
"Wright, MN",Minnesota,661.46
"Yellow Medicine, MN",Minnesota,759.1
"Adams, MS",Mississippi,462.41
"Alcorn, MS",Mississippi,400.04
"Amite, MS",Mississippi,730.1
"Attala, MS",Mississippi,734.98
"Benton, MS",Mississippi,406.62
"Bolivar, MS",Mississippi,876.57
"Calhoun, MS",Mississippi,586.57
"Carroll, MS",Mississippi,628.24
"Chickasaw, MS",Mississippi,501.78
"Choctaw, MS",Mississippi,418.18
"Claiborne, MS",Mississippi,487.41
"Clarke, MS",Mississippi,691.55
"Clay, MS",Mississippi,410.08
"Coahoma, MS",Mississippi,552.44
"Copiah, MS",Mississippi,777.24
"Covington, MS",Mississippi,413.79
"DeSoto, MS",Mississippi,476.15
"Forrest, MS",Mississippi,466.31
"Franklin, MS",Mississippi,563.78
"George, MS",Mississippi,478.71
"Greene, MS",Mississippi,712.76
"Grenada, MS",Mississippi,422.11
"Hancock, MS",Mississippi,473.75
"Harrison, MS",Mississippi,573.99
"Hinds, MS",Mississippi,869.74
"Holmes, MS",Mississippi,756.7
"Humphreys, MS",Mississippi,418.49
"Issaquena, MS",Mississippi,413.05
"Itawamba, MS",Mississippi,532.79
"Jackson, MS",Mississippi,722.75
"Jasper, MS",Mississippi,676.24
"Jefferson, MS",Mississippi,519.93
"Jefferson Davis, MS",Mississippi,408.44
"Jones, MS",Mississippi,694.8
"Kemper, MS",Mississippi,766.18
"Lafayette, MS",Mississippi,631.71
"Lamar, MS",Mississippi,497.06
"Lauderdale, MS",Mississippi,703.63
"Lawrence, MS",Mississippi,430.67
"Leake, MS",Mississippi,583
"Lee, MS",Mississippi,449.95
"Leflore, MS",Mississippi,592.54
"Lincoln, MS",Mississippi,586.12
"Lowndes, MS",Mississippi,505.51
"Madison, MS",Mississippi,714.51
"Marion, MS",Mississippi,542.38
"Marshall, MS",Mississippi,706.19
"Monroe, MS",Mississippi,765.09
"Montgomery, MS",Mississippi,406.98
"Neshoba, MS",Mississippi,570.14
"Newton, MS",Mississippi,578.1
"Noxubee, MS",Mississippi,695.14
"Oktibbeha, MS",Mississippi,458.2
"Panola, MS",Mississippi,685.14
"Pearl River, MS",Mississippi,810.86
"Perry, MS",Mississippi,647.25
"Pike, MS",Mississippi,409.02
"Pontotoc, MS",Mississippi,497.69
"Prentiss, MS",Mississippi,414.98
"Quitman, MS",Mississippi,405.01
"Rankin, MS",Mississippi,775.49
"Scott, MS",Mississippi,609.19
"Sharkey, MS",Mississippi,431.72
"Simpson, MS",Mississippi,589.16
"Smith, MS",Mississippi,636.25
"Stone, MS",Mississippi,445.49
"Sunflower, MS",Mississippi,697.75
"Tallahatchie, MS",Mississippi,645.29
"Tate, MS",Mississippi,404.76
"Tippah, MS",Mississippi,457.82
"Tishomingo, MS",Mississippi,424.25
"Tunica, MS",Mississippi,454.67
"Union, MS",Mississippi,415.6
"Walthall, MS",Mississippi,403.94
"Warren, MS",Mississippi,588.5
"Washington, MS",Mississippi,724.74
"Wayne, MS",Mississippi,810.75
"Webster, MS",Mississippi,420.94
"Wilkinson, MS",Mississippi,678.11
"Winston, MS",Mississippi,607.25
"Yalobusha, MS",Mississippi,467.13
"Yazoo, MS",Mississippi,922.95
"Adair, MO",Missouri,567.32
"Andrew, MO",Missouri,432.7
"Atchison, MO",Missouri,547.3
"Audrain, MO",Missouri,692.24
"Barry, MO",Missouri,778.25
"Barton, MO",Missouri,591.92
"Bates, MO",Missouri,836.69
"Benton, MO",Missouri,704.06
"Bollinger, MO",Missouri,617.91
"Boone, MO",Missouri,685.41
"Buchanan, MO",Missouri,408.03
"Butler, MO",Missouri,694.67
"Caldwell, MO",Missouri,426.39
"Callaway, MO",Missouri,834.58
"Camden, MO",Missouri,655.92
"Cape Girardeau, MO",Missouri,578.54
"Carroll, MO",Missouri,694.62
"Carter, MO",Missouri,507.36
"Cass, MO",Missouri,696.84
"Cedar, MO",Missouri,474.48
"Chariton, MO",Missouri,751.18
"Christian, MO",Missouri,562.65
"Clark, MO",Missouri,504.69
"Clay, MO",Missouri,397.3
"Clinton, MO",Missouri,418.96
"Cole, MO",Missouri,393.75
"Cooper, MO",Missouri,564.77
"Crawford, MO",Missouri,742.52
"Dade, MO",Missouri,490.01
"Dallas, MO",Missouri,540.77
