County,State,Land Area
"Searcy, AR",Arkansas,666.1
"Sebastian, AR",Arkansas,531.91
"Sevier, AR",Arkansas,565.13
"Sharp, AR",Arkansas,604.44
"Stone, AR",Arkansas,606.41
"Union, AR",Arkansas,1039.21
"Van Buren, AR",Arkansas,708.14
"Washington, AR",Arkansas,941.97
"White, AR",Arkansas,1035.08
"Woodruff, AR",Arkansas,586.79
"Yell, AR",Arkansas,929.98
"Alameda, CA",California,739.02
"Alpine, CA",California,738.33
"Amador, CA",California,594.58
"Butte, CA",California,1636.46
"Calaveras, CA",California,1020.01
"Colusa, CA",California,1150.73
"Contra Costa, CA",California,715.94
"Del Norte, CA",California,1006.37
"El Dorado, CA",California,1707.88
"Fresno, CA",California,5957.99
"Glenn, CA",California,1313.95
"Humboldt, CA",California,3567.99
"Imperial, CA",California,4176.6
"Inyo, CA",California,10180.88
"Kern, CA",California,8131.92
"Kings, CA",California,1389.42
"Lake, CA",California,1256.46
"Lassen, CA",California,4541.18
"Los Angeles, CA",California,4057.88
"Madera, CA",California,2137.07
"Marin, CA",California,520.31
"Mariposa, CA",California,1448.82
"Mendocino, CA",California,3506.34
"Merced, CA",California,1934.97
"Modoc, CA",California,3917.77
"Mono, CA",California,3048.98
"Monterey, CA",California,3280.6
"Napa, CA",California,748.36
"Nevada, CA",California,957.77
"Orange, CA",California,790.57
"Placer, CA",California,1407.01
"Plumas, CA",California,2553.04
"Riverside, CA",California,7206.48
"Sacramento, CA",California,964.64
"San Benito, CA",California,1388.71
"San Bernardino, CA",California,20056.94
"San Diego, CA",California,4206.63
"San Francisco, CA",California,46.87
"San Joaquin, CA",California,1391.32
"San Luis Obispo, CA",California,3298.57
"San Mateo, CA",California,448.41
"Santa Barbara, CA",California,2735.09
"Santa Clara, CA",California,1290.1
"Santa Cruz, CA",California,445.17
"Shasta, CA",California,3775.4
"Sierra, CA",California,953.21
"Siskiyou, CA",California,6277.89
"Solano, CA",California,821.77
"Sonoma, CA",California,1575.85
"Stanislaus, CA",California,1494.83
"Sutter, CA",California,602.41
"Tehama, CA",California,2949.71
"Trinity, CA",California,3179.25
"Tulare, CA",California,4824.22
"Tuolumne, CA",California,2220.88
"Ventura, CA",California,1843.13
"Yolo, CA",California,1014.69
"Yuba, CA",California,631.84
"Adams, CO",Colorado,1167.65
"Alamosa, CO",Colorado,722.64
"Arapahoe, CO",Colorado,798.1
"Archuleta, CO",Colorado,1350.18
"Baca, CO",Colorado,2554.97
"Bent, CO",Colorado,1512.86
"Boulder, CO",Colorado,726.29
"Broomfield, CO",Colorado,33.03
"Chaffee, CO",Colorado,1013.4
"Cheyenne, CO",Colorado,1778.28
"Clear Creek, CO",Colorado,395.23
"Conejos, CO",Colorado,1287.39
"Costilla, CO",Colorado,1226.95
"Crowley, CO",Colorado,787.42
"Custer, CO",Colorado,738.63
"Delta, CO",Colorado,1142.05
"Denver, CO",Colorado,153
"Dolores, CO",Colorado,1067.05
"Douglas, CO",Colorado,840.25
"Eagle, CO",Colorado,1684.53
"Elbert, CO",Colorado,1850.85
"El Paso, CO",Colorado,2126.8
"Fremont, CO",Colorado,1533.07
"Garfield, CO",Colorado,2947.56
"Gilpin, CO",Colorado,149.9
"Grand, CO",Colorado,1846.33
"Gunnison, CO",Colorado,3239.1
"Hinsdale, CO",Colorado,1117.25
"Huerfano, CO",Colorado,1591
"Jackson, CO",Colorado,1613.72
"Jefferson, CO",Colorado,764.21
"Kiowa, CO",Colorado,1767.77
"Kit Carson, CO",Colorado,2160.82
"Lake, CO",Colorado,376.91
"La Plata, CO",Colorado,1692.08
"Larimer, CO",Colorado,2596
"Las Animas, CO",Colorado,4772.67
"Lincoln, CO",Colorado,2577.63
"Logan, CO",Colorado,1838.55
"Mesa, CO",Colorado,3328.97
"Mineral, CO",Colorado,875.67
"Moffat, CO",Colorado,4743.29
"Montezuma, CO",Colorado,2029.53
"Montrose, CO",Colorado,2240.7
"Morgan, CO",Colorado,1280.43
"Otero, CO",Colorado,1261.96
"Ouray, CO",Colorado,541.59
"Park, CO",Colorado,2193.85
"Phillips, CO",Colorado,687.93
"Pitkin, CO",Colorado,970.7
"Prowers, CO",Colorado,1638.4
"Pueblo, CO",Colorado,2386.1
"Rio Blanco, CO",Colorado,3220.93
"Rio Grande, CO",Colorado,911.96
"Routt, CO",Colorado,2362.03
"Saguache, CO",Colorado,3168.53
"San Juan, CO",Colorado,387.49
"San Miguel, CO",Colorado,1286.61
"Sedgwick, CO",Colorado,548.04
"Summit, CO",Colorado,608.36
"Teller, CO",Colorado,557.06
"Washington, CO",Colorado,2518.03
"Weld, CO",Colorado,3987.24
"Yuma, CO",Colorado,2364.41
"Fairfield, CT",Connecticut,624.89
"Hartford, CT",Connecticut,735.1
"Litchfield, CT",Connecticut,920.56
"Middlesex, CT",Connecticut,369.3
"New Haven, CT",Connecticut,604.51
"New London, CT",Connecticut,664.88
"Tolland, CT",Connecticut,410.21
"Windham, CT",Connecticut,512.91
"Kent, DE",Delaware,586.18
"New Castle, DE",Delaware,426.29
"Sussex, DE",Delaware,936.08
District of Columbia,District of Columbia,61.05
"Alachua, FL",Florida,875.02
"Baker, FL",Florida,585.23
"Bay, FL",Florida,758.46
"Bradford, FL",Florida,293.96
"Brevard, FL",Florida,1015.66
"Broward, FL",Florida,1209.79
"Calhoun, FL",Florida,567.33
"Charlotte, FL",Florida,680.28
"Citrus, FL",Florida,581.7
"Clay, FL",Florida,604.36
