SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
50.0,1.0,21.0,Alabama,Chilton County,12.0,0.0,44428.0,21800.0,22628.0,2247.0,2349.0,1990.0,1646.0
50.0,1.0,21.0,Alabama,Chilton County,12.0,15.0,2054.0,931.0,1123.0,73.0,75.0,25.0,15.0
50.0,1.0,21.0,Alabama,Chilton County,12.0,16.0,1401.0,658.0,743.0,41.0,56.0,7.0,5.0
50.0,1.0,21.0,Alabama,Chilton County,12.0,17.0,835.0,361.0,474.0,20.0,37.0,4.0,6.0
50.0,1.0,21.0,Alabama,Chilton County,12.0,18.0,813.0,325.0,488.0,26.0,31.0,12.0,11.0
50.0,1.0,23.0,Alabama,Choctaw County,12.0,0.0,12589.0,5938.0,6651.0,2370.0,2885.0,55.0,73.0
50.0,1.0,23.0,Alabama,Choctaw County,12.0,15.0,796.0,349.0,447.0,124.0,171.0,3.0,7.0
50.0,1.0,23.0,Alabama,Choctaw County,12.0,16.0,593.0,278.0,315.0,81.0,121.0,5.0,1.0
50.0,1.0,23.0,Alabama,Choctaw County,12.0,17.0,376.0,149.0,227.0,47.0,67.0,1.0,0.0
50.0,1.0,23.0,Alabama,Choctaw County,12.0,18.0,349.0,136.0,213.0,35.0,74.0,0.0,0.0
50.0,1.0,25.0,Alabama,Clarke County,12.0,0.0,23622.0,11153.0,12469.0,4878.0,5757.0,162.0,148.0
50.0,1.0,25.0,Alabama,Clarke County,12.0,15.0,1267.0,591.0,676.0,182.0,245.0,2.0,4.0
50.0,1.0,25.0,Alabama,Clarke County,12.0,16.0,984.0,425.0,559.0,112.0,186.0,1.0,3.0
50.0,1.0,25.0,Alabama,Clarke County,12.0,17.0,657.0,285.0,372.0,62.0,127.0,5.0,2.0
50.0,1.0,25.0,Alabama,Clarke County,12.0,18.0,562.0,169.0,393.0,32.0,138.0,1.0,6.0
50.0,1.0,27.0,Alabama,Clay County,12.0,0.0,13235.0,6447.0,6788.0,867.0,957.0,231.0,204.0
50.0,1.0,27.0,Alabama,Clay County,12.0,15.0,677.0,319.0,358.0,35.0,55.0,8.0,3.0
50.0,1.0,27.0,Alabama,Clay County,12.0,16.0,564.0,255.0,309.0,31.0,33.0,4.0,0.0
50.0,1.0,27.0,Alabama,Clay County,12.0,17.0,389.0,151.0,238.0,15.0,24.0,2.0,0.0
50.0,1.0,27.0,Alabama,Clay County,12.0,18.0,310.0,114.0,196.0,10.0,15.0,1.0,3.0
50.0,1.0,29.0,Alabama,Cleburne County,12.0,0.0,14910.0,7340.0,7570.0,193.0,231.0,212.0,175.0
50.0,1.0,29.0,Alabama,Cleburne County,12.0,15.0,843.0,378.0,465.0,12.0,11.0,3.0,1.0
50.0,1.0,29.0,Alabama,Cleburne County,12.0,16.0,591.0,266.0,325.0,9.0,15.0,2.0,1.0
50.0,1.0,29.0,Alabama,Cleburne County,12.0,17.0,319.0,143.0,176.0,1.0,9.0,2.0,0.0
50.0,1.0,29.0,Alabama,Cleburne County,12.0,18.0,340.0,103.0,237.0,2.0,8.0,1.0,4.0
50.0,1.0,31.0,Alabama,Coffee County,12.0,0.0,52342.0,25742.0,26600.0,4429.0,4787.0,2189.0,1982.0
50.0,1.0,31.0,Alabama,Coffee County,12.0,15.0,2508.0,1178.0,1330.0,166.0,220.0,17.0,26.0
50.0,1.0,31.0,Alabama,Coffee County,12.0,16.0,1621.0,679.0,942.0,71.0,113.0,11.0,13.0
50.0,1.0,31.0,Alabama,Coffee County,12.0,17.0,1125.0,447.0,678.0,37.0,96.0,6.0,6.0
50.0,1.0,31.0,Alabama,Coffee County,12.0,18.0,981.0,328.0,653.0,35.0,75.0,8.0,14.0
50.0,1.0,33.0,Alabama,Colbert County,12.0,0.0,55241.0,26408.0,28833.0,4108.0,4851.0,925.0,864.0
50.0,1.0,33.0,Alabama,Colbert County,12.0,15.0,2825.0,1263.0,1562.0,166.0,243.0,7.0,2.0
50.0,1.0,33.0,Alabama,Colbert County,12.0,16.0,2148.0,906.0,1242.0,116.0,166.0,4.0,7.0
50.0,1.0,33.0,Alabama,Colbert County,12.0,17.0,1414.0,564.0,850.0,61.0,106.0,4.0,4.0
50.0,1.0,33.0,Alabama,Colbert County,12.0,18.0,1264.0,484.0,780.0,62.0,106.0,6.0,10.0
50.0,1.0,35.0,Alabama,Conecuh County,12.0,0.0,12067.0,5758.0,6309.0,2524.0,3036.0,150.0,127.0
50.0,1.0,35.0,Alabama,Conecuh County,12.0,15.0,812.0,393.0,419.0,141.0,172.0,1.0,2.0
50.0,1.0,35.0,Alabama,Conecuh County,12.0,16.0,538.0,244.0,294.0,92.0,111.0,0.0,1.0
50.0,1.0,35.0,Alabama,Conecuh County,12.0,17.0,375.0,170.0,205.0,46.0,62.0,2.0,2.0
50.0,1.0,35.0,Alabama,Conecuh County,12.0,18.0,317.0,129.0,188.0,33.0,69.0,0.0,0.0
50.0,1.0,37.0,Alabama,Coosa County,12.0,0.0,10663.0,5335.0,5328.0,1606.0,1688.0,152.0,128.0
50.0,1.0,37.0,Alabama,Coosa County,12.0,15.0,676.0,304.0,372.0,58.0,73.0,5.0,2.0
50.0,1.0,37.0,Alabama,Coosa County,12.0,16.0,511.0,261.0,250.0,53.0,67.0,2.0,8.0
50.0,1.0,37.0,Alabama,Coosa County,12.0,17.0,302.0,137.0,165.0,37.0,45.0,4.0,1.0
50.0,1.0,37.0,Alabama,Coosa County,12.0,18.0,274.0,106.0,168.0,23.0,52.0,0.0,2.0
50.0,1.0,39.0,Alabama,Covington County,12.0,0.0,37049.0,17927.0,19122.0,2138.0,2500.0,342.0,345.0
50.0,1.0,39.0,Alabama,Covington County,12.0,15.0,2105.0,988.0,1117.0,68.0,99.0,10.0,7.0
50.0,1.0,39.0,Alabama,Covington County,12.0,16.0,1519.0,671.0,848.0,41.0,69.0,3.0,14.0
50.0,1.0,39.0,Alabama,Covington County,12.0,17.0,1035.0,385.0,650.0,23.0,56.0,7.0,8.0
50.0,1.0,39.0,Alabama,Covington County,12.0,18.0,981.0,314.0,667.0,15.0,56.0,1.0,5.0
50.0,1.0,41.0,Alabama,Crenshaw County,12.0,0.0,13772.0,6685.0,7087.0,1509.0,1780.0,185.0,148.0
50.0,1.0,41.0,Alabama,Crenshaw County,12.0,15.0,784.0,338.0,446.0,61.0,98.0,4.0,3.0
50.0,1.0,41.0,Alabama,Crenshaw County,12.0,16.0,443.0,212.0,231.0,35.0,40.0,3.0,2.0
50.0,1.0,41.0,Alabama,Crenshaw County,12.0,17.0,303.0,114.0,189.0,17.0,52.0,4.0,3.0
50.0,1.0,41.0,Alabama,Crenshaw County,12.0,18.0,308.0,98.0,210.0,19.0,40.0,4.0,2.0
50.0,1.0,43.0,Alabama,Cullman County,12.0,0.0,83768.0,41408.0,42360.0,635.0,521.0,1924.0,1828.0
50.0,1.0,43.0,Alabama,Cullman County,12.0,15.0,4339.0,2005.0,2334.0,22.0,22.0,15.0,24.0
50.0,1.0,43.0,Alabama,Cullman County,12.0,16.0,3024.0,1364.0,1660.0,8.0,8.0,8.0,19.0
50.0,1.0,43.0,Alabama,Cullman County,12.0,17.0,2009.0,821.0,1188.0,1.0,6.0,13.0,9.0
50.0,1.0,43.0,Alabama,Cullman County,12.0,18.0,1432.0,550.0,882.0,8.0,7.0,9.0,8.0
50.0,1.0,45.0,Alabama,Dale County,12.0,0.0,49172.0,24214.0,24958.0,4790.0,5524.0,1831.0,1619.0
50.0,1.0,45.0,Alabama,Dale County,12.0,15.0,2259.0,1034.0,1225.0,133.0,209.0,24.0,36.0
50.0,1.0,45.0,Alabama,Dale County,12.0,16.0,1608.0,703.0,905.0,55.0,112.0,15.0,15.0
50.0,1.0,45.0,Alabama,Dale County,12.0,17.0,1048.0,407.0,641.0,30.0,82.0,7.0,10.0
50.0,1.0,45.0,Alabama,Dale County,12.0,18.0,937.0,366.0,571.0,31.0,65.0,11.0,18.0
50.0,1.0,47.0,Alabama,Dallas County,12.0,0.0,37196.0,17178.0,20018.0,11940.0,14360.0,237.0,192.0
50.0,1.0,47.0,Alabama,Dallas County,12.0,15.0,1898.0,855.0,1043.0,467.0,637.0,9.0,6.0
50.0,1.0,47.0,Alabama,Dallas County,12.0,16.0,1223.0,521.0,702.0,264.0,416.0,4.0,3.0
50.0,1.0,47.0,Alabama,Dallas County,12.0,17.0,880.0,323.0,557.0,181.0,293.0,2.0,3.0
50.0,1.0,47.0,Alabama,Dallas County,12.0,18.0,720.0,201.0,519.0,100.0,270.0,2.0,5.0
50.0,1.0,49.0,Alabama,DeKalb County,12.0,0.0,71513.0,35577.0,35936.0,688.0,652.0,5715.0,5059.0
50.0,1.0,49.0,Alabama,DeKalb County,12.0,15.0,3540.0,1670.0,1870.0,20.0,15.0,22.0,30.0
50.0,1.0,49.0,Alabama,DeKalb County,12.0,16.0,2368.0,1087.0,1281.0,14.0,17.0,8.0,11.0
50.0,1.0,49.0,Alabama,DeKalb County,12.0,17.0,1480.0,589.0,891.0,13.0,8.0,11.0,11.0
50.0,1.0,49.0,Alabama,DeKalb County,12.0,18.0,1241.0,423.0,818.0,0.0,16.0,8.0,6.0
50.0,1.0,51.0,Alabama,Elmore County,12.0,0.0,81209.0,39236.0,41973.0,8345.0,8834.0,1289.0,1274.0
50.0,1.0,51.0,Alabama,Elmore County,12.0,15.0,3543.0,1674.0,1869.0,158.0,207.0,10.0,12.0
50.0,1.0,51.0,Alabama,Elmore County,12.0,16.0,2374.0,1110.0,1264.0,89.0,158.0,6.0,8.0
50.0,1.0,51.0,Alabama,Elmore County,12.0,17.0,1409.0,621.0,788.0,64.0,88.0,6.0,2.0
50.0,1.0,51.0,Alabama,Elmore County,12.0,18.0,1149.0,369.0,780.0,27.0,88.0,11.0,15.0
50.0,1.0,53.0,Alabama,Escambia County,12.0,0.0,36633.0,18425.0,18208.0,5974.0,5476.0,530.0,422.0
50.0,1.0,53.0,Alabama,Escambia County,12.0,15.0,1741.0,755.0,986.0,149.0,232.0,14.0,4.0
50.0,1.0,53.0,Alabama,Escambia County,12.0,16.0,1336.0,547.0,789.0,108.0,179.0,2.0,5.0
50.0,1.0,53.0,Alabama,Escambia County,12.0,17.0,864.0,351.0,513.0,90.0,117.0,3.0,6.0
50.0,1.0,53.0,Alabama,Escambia County,12.0,18.0,694.0,217.0,477.0,34.0,104.0,4.0,0.0
50.0,1.0,55.0,Alabama,Etowah County,12.0,0.0,102268.0,49496.0,52772.0,7542.0,8560.0,2225.0,2005.0
50.0,1.0,55.0,Alabama,Etowah County,12.0,15.0,5459.0,2486.0,2973.0,239.0,314.0,18.0,25.0
50.0,1.0,55.0,Alabama,Etowah County,12.0,16.0,3598.0,1567.0,2031.0,128.0,157.0,13.0,7.0
50.0,1.0,55.0,Alabama,Etowah County,12.0,17.0,2343.0,957.0,1386.0,75.0,136.0,11.0,3.0
50.0,1.0,55.0,Alabama,Etowah County,12.0,18.0,1982.0,658.0,1324.0,43.0,152.0,5.0,15.0
50.0,1.0,57.0,Alabama,Fayette County,12.0,0.0,16302.0,7937.0,8365.0,927.0,974.0,172.0,163.0
50.0,1.0,57.0,Alabama,Fayette County,12.0,15.0,924.0,408.0,516.0,42.0,57.0,2.0,4.0
50.0,1.0,57.0,Alabama,Fayette County,12.0,16.0,707.0,310.0,397.0,21.0,36.0,1.0,2.0
50.0,1.0,57.0,Alabama,Fayette County,12.0,17.0,470.0,205.0,265.0,15.0,20.0,1.0,2.0
50.0,1.0,57.0,Alabama,Fayette County,12.0,18.0,325.0,112.0,213.0,11.0,31.0,1.0,1.0
50.0,1.0,59.0,Alabama,Franklin County,12.0,0.0,31362.0,15782.0,15580.0,776.0,597.0,3153.0,2453.0
50.0,1.0,59.0,Alabama,Franklin County,12.0,15.0,1399.0,681.0,718.0,32.0,24.0,29.0,19.0
50.0,1.0,59.0,Alabama,Franklin County,12.0,16.0,999.0,423.0,576.0,24.0,13.0,12.0,12.0
50.0,1.0,59.0,Alabama,Franklin County,12.0,17.0,693.0,296.0,397.0,10.0,18.0,6.0,11.0
50.0,1.0,59.0,Alabama,Franklin County,12.0,18.0,587.0,226.0,361.0,8.0,23.0,15.0,1.0
50.0,1.0,61.0,Alabama,Geneva County,12.0,0.0,26271.0,12827.0,13444.0,1181.0,1264.0,584.0,511.0
50.0,1.0,61.0,Alabama,Geneva County,12.0,15.0,1453.0,698.0,755.0,49.0,58.0,10.0,16.0
50.0,1.0,61.0,Alabama,Geneva County,12.0,16.0,1055.0,468.0,587.0,32.0,43.0,2.0,4.0
50.0,1.0,61.0,Alabama,Geneva County,12.0,17.0,669.0,245.0,424.0,21.0,36.0,10.0,3.0
50.0,1.0,61.0,Alabama,Geneva County,12.0,18.0,592.0,215.0,377.0,16.0,23.0,6.0,2.0
50.0,1.0,63.0,Alabama,Greene County,12.0,0.0,8111.0,3829.0,4282.0,3033.0,3449.0,73.0,66.0
50.0,1.0,63.0,Alabama,Greene County,12.0,15.0,462.0,198.0,264.0,137.0,198.0,2.0,1.0
50.0,1.0,63.0,Alabama,Greene County,12.0,16.0,320.0,144.0,176.0,104.0,119.0,3.0,1.0
50.0,1.0,63.0,Alabama,Greene County,12.0,17.0,211.0,96.0,115.0,62.0,81.0,0.0,1.0
50.0,1.0,63.0,Alabama,Greene County,12.0,18.0,244.0,78.0,166.0,57.0,125.0,0.0,1.0
50.0,1.0,65.0,Alabama,Hale County,12.0,0.0,14651.0,6950.0,7701.0,3909.0,4591.0,111.0,98.0
50.0,1.0,65.0,Alabama,Hale County,12.0,15.0,740.0,359.0,381.0,162.0,166.0,3.0,1.0
50.0,1.0,65.0,Alabama,Hale County,12.0,16.0,529.0,242.0,287.0,120.0,130.0,0.0,4.0
50.0,1.0,65.0,Alabama,Hale County,12.0,17.0,337.0,122.0,215.0,59.0,105.0,1.0,1.0
50.0,1.0,65.0,Alabama,Hale County,12.0,18.0,362.0,104.0,258.0,37.0,143.0,1.0,1.0
50.0,1.0,67.0,Alabama,Henry County,12.0,0.0,17205.0,8309.0,8896.0,2097.0,2357.0,239.0,224.0
50.0,1.0,67.0,Alabama,Henry County,12.0,15.0,1126.0,543.0,583.0,124.0,105.0,2.0,5.0
50.0,1.0,67.0,Alabama,Henry County,12.0,16.0,704.0,322.0,382.0,42.0,95.0,3.0,1.0
50.0,1.0,67.0,Alabama,Henry County,12.0,17.0,482.0,215.0,267.0,31.0,74.0,4.0,1.0
50.0,1.0,67.0,Alabama,Henry County,12.0,18.0,432.0,123.0,309.0,24.0,71.0,2.0,9.0
50.0,1.0,69.0,Alabama,Houston County,12.0,0.0,105882.0,50628.0,55254.0,13435.0,15541.0,1920.0,1711.0
50.0,1.0,69.0,Alabama,Houston County,12.0,15.0,5168.0,2348.0,2820.0,397.0,495.0,24.0,28.0
