date, pm25, pm10, o3, no2, co
2015/3/26, 37, , 20, 3, 
2015/3/27, 34, , 34, 2, 
2015/3/28, 29, , 29, 5, 
2015/3/29, 34, , 55, 3, 
2015/3/30, 44, , 25, 9, 
2015/3/31, 62, , 17, 2, 
2015/4/1, 19, , 31, 2, 
2014/10/2, 29, , , , 
2014/10/4, 22, , 29, 4, 
2014/10/5, 21, , 29, , 
2014/10/6, 23, , 33, 5, 
2014/10/7, 39, , 33, 3, 
2014/10/8, 30, , 31, 4, 
2014/10/9, 29, , 29, , 
2014/10/10, 26, , 30, 4, 
2014/10/11, 29, , 31, 3, 
2014/10/12, 26, , 25, 2, 
2014/10/13, 23, , 33, 2, 
2014/10/14, 28, , 42, 4, 
2014/10/15, 44, , 53, 5, 
2014/10/16, 77, , 26, 2, 
2014/10/17, 64, , 27, 5, 
2014/10/18, 50, , 23, 2, 
2014/10/19, 31, , 23, 1, 
2014/10/20, 16, , 28, 3, 
2014/10/21, 20, , 38, 4, 
2014/10/22, 29, , 34, 2, 
2014/10/23, 61, , 28, , 
2014/10/24, 26, , 33, 3, 
2014/10/25, 27, , 25, 1, 
2014/10/26, 25, , 27, 4, 
2014/10/27, 24, , 32, 3, 
2014/10/28, 38, , 34, 2, 
2014/10/29, 47, , 30, 3, 
2014/10/30, 53, , 30, , 
2014/10/31, 36, , 32, , 
2014/11/1, 24, , 39, 3, 
2014/11/2, 29, , 30, 1, 
2014/11/3, 29, , 27, 2, 
2014/11/4, 32, , 33, 3, 
2014/11/5, 38, , 27, 5, 
2014/11/6, 43, , 29, 4, 
2014/11/7, 21, , 26, 3, 
2014/11/8, 37, , 30, 4, 
2014/11/9, 33, , 35, 2, 
2014/11/10, 39, , 26, 1, 
2014/11/11, 45, , 24, 3, 
2014/11/12, 25, , 25, 2, 
2014/11/13, 27, , 24, 2, 
2014/11/14, 32, , 27, 3, 
2014/11/15, 22, , 27, 2, 
2014/11/16, 21, , 36, 3, 
2014/11/17, 29, , 26, 3, 
2014/11/18, 33, , 31, 2, 
2014/11/19, 35, , 22, 2, 
2014/11/20, 24, , 21, 2, 
2014/11/21, 19, , 23, , 
2014/11/22, 29, , 21, , 
2014/11/23, 30, , 24, 1, 
2014/11/24, 24, , 29, 2, 
2014/11/25, 35, , 30, 2, 
2014/11/26, 34, , 22, 2, 
2014/11/27, 36, , 39, 4, 
2014/11/28, 33, , 24, 4, 
2014/11/29, 32, , 19, 1, 
2014/11/30, 24, , 28, 4, 
2014/12/1, 22, , 17, , 
2014/12/2, 21, , 34, 2, 
2014/12/3, 25, , 26, 4, 
2014/12/4, 35, , 21, 3, 
2014/12/5, 27, , 26, 2, 
2014/12/6, 24, , 34, 2, 
2014/12/7, 40, , 36, 3, 
2014/12/8, 42, , 21, , 
2014/12/9, 36, , 24, 2, 
2014/12/10, 25, , 27, 1, 
2014/12/11, 27, , 39, 1, 
2014/12/12, 28, , 21, , 
2014/12/13, 40, , 17, 1, 
2014/12/14, 31, , 25, 3, 
2014/12/15, 32, , 17, 3, 
2014/12/16, 23, , 25, 2, 
2014/12/17, 22, , 25, 1, 
2014/12/18, 27, , 33, 3, 
2014/12/19, 32, , 34, 2, 
2014/12/20, 42, , 18, 1, 
2014/12/21, 57, , 20, 1, 
2014/12/22, 38, , 27, 2, 
2014/12/23, 29, , 28, 2, 
2014/12/24, 31, , 25, 4, 
2014/12/25, 30, , 24, 2, 
2014/12/26, 30, , 30, 1, 
2014/12/27, 36, , 41, 3, 
2014/12/28, 40, , 25, 3, 
2014/12/29, 41, , , , 
2014/9/7, 26, , 36, , 
2014/9/8, 29, , 32, , 
2014/9/9, 38, , 36, , 
2014/9/10, 58, , 39, , 
2014/9/11, 40, , 37, 4, 
2014/9/12, 22, , 38, 6, 
2014/9/13, 23, , 40, 2, 
2014/9/14, 24, , 35, 6, 
2014/9/15, 34, , 34, 3, 
2014/9/16, 30, , 29, 3, 
2014/9/17, 29, , 34, 4, 
2014/9/18, 32, , 26, 4, 
2014/9/19, 42, , 26, 4, 
2014/9/20, 29, , 32, 4, 
2014/9/21, 33, , 35, , 
2014/9/22, 35, , 31, 3, 
2014/9/23, 25, , 31, 4, 
2014/9/24, 30, , 34, 4, 
2014/9/25, 34, , 35, 6, 
2014/9/26, 38, , 30, 2, 
2014/9/27, 21, , 30, , 
2014/9/28, 26, , 30, , 
2014/9/29, 33, , 24, 1, 
2014/9/30, 24, , 33, 7, 
2014/10/1, 27, , 21, 3, 
2018/1/29, , 16, 21, 2, 1
2020/6/2, , , 3, 17, 
2020/5/18, , , 28, 2, 
2017/1/4, , , 53, 4, 
2017/2/6, , , 24, , 
2017/2/14, , , 34, 1, 
2017/3/7, , , 17, 1, 
2017/3/19, , , 25, 4, 
2017/3/20, , , 17, 2, 
2016/12/28, , , 21, 1, 
2016/4/2, , , 45, 3, 
2016/5/12, , , 30, 4, 
2016/1/4, , , 38, 2, 
2015/11/16, , , 42, 6, 
2015/12/14, , , 27, , 
2015/12/15, , , 33, 3, 
2015/1/1, , , 24, 1, 
2014/10/3, , , 26, , 
2014/9/6, , , 31, 1, 
