County,State,Combined_Key,Case_Curve_Class
Grant,Wisconsin,"Grant, Wisconsin, US",2
Jefferson,Wisconsin,"Jefferson, Wisconsin, US",3
Kenosha,Wisconsin,"Kenosha, Wisconsin, US",1
Kewaunee,Wisconsin,"Kewaunee, Wisconsin, US",2
La Crosse,Wisconsin,"La Crosse, Wisconsin, US",2
Manitowoc,Wisconsin,"Manitowoc, Wisconsin, US",3
Marathon,Wisconsin,"Marathon, Wisconsin, US",3
Milwaukee,Wisconsin,"Milwaukee, Wisconsin, US",3
Oneida,Wisconsin,"Oneida, Wisconsin, US",3
Outagamie,Wisconsin,"Outagamie, Wisconsin, US",3
Ozaukee,Wisconsin,"Ozaukee, Wisconsin, US",3
Rock,Wisconsin,"Rock, Wisconsin, US",1
Sauk,Wisconsin,"Sauk, Wisconsin, US",2
Sheboygan,Wisconsin,"Sheboygan, Wisconsin, US",3
Taylor,Wisconsin,"Taylor, Wisconsin, US",1
Vilas,Wisconsin,"Vilas, Wisconsin, US",3
Walworth,Wisconsin,"Walworth, Wisconsin, US",3
Waukesha,Wisconsin,"Waukesha, Wisconsin, US",3
Albany,Wyoming,"Albany, Wyoming, US",1
Big Horn,Wyoming,"Big Horn, Wyoming, US",3
Campbell,Wyoming,"Campbell, Wyoming, US",2
Carbon,Wyoming,"Carbon, Wyoming, US",3
Converse,Wyoming,"Converse, Wyoming, US",1
Fremont,Wyoming,"Fremont, Wyoming, US",1
Laramie,Wyoming,"Laramie, Wyoming, US",2
Lincoln,Wyoming,"Lincoln, Wyoming, US",2
Natrona,Wyoming,"Natrona, Wyoming, US",2
Sheridan,Wyoming,"Sheridan, Wyoming, US",2
Sublette,Wyoming,"Sublette, Wyoming, US",2
Sweetwater,Wyoming,"Sweetwater, Wyoming, US",3
Teton,Wyoming,"Teton, Wyoming, US",2
Uinta,Wyoming,"Uinta, Wyoming, US",2
Weston,Wyoming,"Weston, Wyoming, US",2
