State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,StateCounty
Alabama,Baldwin,2019,271,0.8745387453874539,0.12546125461254612,0.0,0.0,0.0,0.0,80,52,37,0.0,0.0,0.8118081180811808,0.0,0.1881918819188192,0.0,"Baldwin, Alabama, US"
Alabama,Colbert,2019,263,0.9581749049429658,0.04182509505703422,0.0,0.0,0.0,0.0,61,47,37,0.0,0.0,0.8669201520912547,0.0,0.13307984790874525,0.0,"Colbert, Alabama, US"
Alabama,DeKalb,2019,361,0.8975069252077562,0.10249307479224376,0.0,0.0,0.0,0.0,90,51,39,0.0,0.0,0.9168975069252078,0.0,0.08310249307479224,0.0,"DeKalb, Alabama, US"
Alabama,Etowah,2019,279,0.8315412186379928,0.16845878136200718,0.0,0.0,0.0,0.0,90,58,43,0.0,0.0,0.7813620071684588,0.0,0.21863799283154126,0.0,"Etowah, Alabama, US"
Alabama,Houston,2019,280,0.9142857142857144,0.08571428571428573,0.0,0.0,0.0,0.0,77,50,35,0.0,0.0,0.7428571428571429,0.0,0.2571428571428571,0.0,"Houston, Alabama, US"
Alabama,Jefferson,2019,365,0.4301369863013699,0.5342465753424658,0.03561643835616438,0.0,0.0,0.0,150,79,53,0.0,0.0054794520547945215,0.33424657534246577,0.010958904109589041,0.6465753424657534,0.0027397260273972607,"Jefferson, Alabama, US"
Alabama,Madison,2019,361,0.7063711911357341,0.293628808864266,0.0,0.0,0.0,0.0,93,58,44,0.0,0.0,0.4293628808864266,0.0,0.5512465373961218,0.01939058171745152,"Madison, Alabama, US"
Alabama,Mobile,2019,364,0.7087912087912088,0.29120879120879123,0.0,0.0,0.0,0.0,80,60,42,0.0,0.0,0.28846153846153844,0.04395604395604396,0.6675824175824175,0.0,"Mobile, Alabama, US"
Alabama,Montgomery,2019,365,0.4684931506849315,0.5287671232876713,0.0027397260273972607,0.0,0.0,0.0,122,67,52,0.0,0.0,0.136986301369863,0.0,0.8602739726027397,0.0027397260273972607,"Montgomery, Alabama, US"
Alabama,Morgan,2019,365,0.8383561643835616,0.16164383561643836,0.0,0.0,0.0,0.0,93,54,41,0.0,0.0,0.5342465753424658,0.0,0.4657534246575342,0.0,"Morgan, Alabama, US"
Alabama,Russell,2019,363,0.7382920110192838,0.26170798898071623,0.0,0.0,0.0,0.0,84,59,40,0.0,0.0,0.3195592286501377,0.0,0.6804407713498623,0.0,"Russell, Alabama, US"
Alabama,Shelby,2019,359,0.8579387186629527,0.12256267409470753,0.019498607242339837,0.0,0.0,0.0,119,58,34,0.0,0.0,0.6462395543175488,0.35376044568245124,0.0,0.0,"Shelby, Alabama, US"
Alabama,Sumter,2019,361,0.92797783933518,0.07202216066481995,0.0,0.0,0.0,0.0,64,48,32,0.0,0.0,0.5069252077562327,0.027700831024930747,0.4653739612188366,0.0,"Sumter, Alabama, US"
Alabama,Tuscaloosa,2019,264,0.9090909090909092,0.09090909090909093,0.0,0.0,0.0,0.0,87,50,35,0.0,0.0,0.7121212121212122,0.0,0.2878787878787879,0.0,"Tuscaloosa, Alabama, US"
Arizona,Apache,2019,359,0.9972144846796658,0.0027855153203342623,0.0,0.0,0.0,0.0,59,20,10,0.0,0.0,0.0,0.0,0.07520891364902507,0.9247910863509751,"Apache, Arizona, US"
Arizona,Cochise,2019,365,0.7287671232876712,0.2712328767123288,0.0,0.0,0.0,0.0,97,64,45,0.0,0.0,0.8958904109589041,0.0,0.03561643835616438,0.0684931506849315,"Cochise, Arizona, US"
Arizona,Coconino,2019,365,0.8027397260273973,0.19726027397260276,0.0,0.0,0.0,0.0,80,58,45,0.0,0.0,0.9917808219178084,0.0,0.00821917808219178,0.0,"Coconino, Arizona, US"
Arizona,Gila,2019,365,0.3972602739726027,0.44931506849315067,0.136986301369863,0.01643835616438356,0.0,0.0,187,110,60,0.0,0.0,0.6958904109589041,0.28493150684931506,0.0,0.019178082191780826,"Gila, Arizona, US"
Arizona,La Paz,2019,364,0.8351648351648352,0.16483516483516486,0.0,0.0,0.0,0.0,77,58,44,0.0,0.0,0.989010989010989,0.0,0.008241758241758242,0.0027472527472527475,"La Paz, Arizona, US"
Arizona,Maricopa,2019,365,0.1808219178082192,0.7150684931506849,0.10410958904109588,0.0,0.0,0.0,147,101,65,0.0,0.00821917808219178,0.589041095890411,0.0,0.19452054794520549,0.20821917808219176,"Maricopa, Arizona, US"
Arizona,Mohave,2019,364,0.9807692307692308,0.019230769230769232,0.0,0.0,0.0,0.0,69,27,13,0.0,0.0,0.0,0.0,0.03021978021978022,0.9697802197802198,"Mohave, Arizona, US"
Arizona,Navajo,2019,365,0.8054794520547945,0.1917808219178082,0.0027397260273972607,0.0,0.0,0.0,112,58,44,0.0,0.0,0.978082191780822,0.0,0.0,0.021917808219178082,"Navajo, Arizona, US"
Arizona,Pima,2019,365,0.6164383561643836,0.3780821917808219,0.0054794520547945215,0.0,0.0,0.0,103,71,47,0.0,0.0027397260273972607,0.7150684931506849,0.0,0.0547945205479452,0.2273972602739726,"Pima, Arizona, US"
