State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,StateCounty
North Carolina,Catawba,2017,348,0.8103448275862069,0.1896551724137931,0.0,0.0,0.0,0.0,86,56,33,0.0,0.0,0.0,0.0,1.0,0.0,"Catawba, North Carolina, US"
North Carolina,Cumberland,2017,365,0.7342465753424657,0.2657534246575343,0.0,0.0,0.0,0.0,100,58,43,0.0,0.0,0.4438356164383562,0.0,0.5534246575342465,0.0027397260273972607,"Cumberland, North Carolina, US"
North Carolina,Davidson,2017,359,0.8189415041782729,0.181058495821727,0.0,0.0,0.0,0.0,73,55,35,0.0,0.0,0.0,0.0,1.0,0.0,"Davidson, North Carolina, US"
North Carolina,Durham,2017,365,0.7369863013698629,0.26301369863013696,0.0,0.0,0.0,0.0,100,58,43,0.0,0.0,0.4602739726027397,0.0,0.5397260273972603,0.0,"Durham, North Carolina, US"
North Carolina,Edgecombe,2017,362,0.8812154696132597,0.11878453038674032,0.0,0.0,0.0,0.0,80,51,37,0.0,0.0,0.5497237569060773,0.0,0.45027624309392267,0.0,"Edgecombe, North Carolina, US"
North Carolina,Forsyth,2017,365,0.7945205479452054,0.2054794520547945,0.0,0.0,0.0,0.0,100,60,43,0.0,0.03287671232876712,0.6054794520547945,0.0,0.3616438356164384,0.0,"Forsyth, North Carolina, US"
North Carolina,Graham,2017,227,0.8810572687224669,0.11894273127753305,0.0,0.0,0.0,0.0,87,51,43,0.0,0.0,1.0,0.0,0.0,0.0,"Graham, North Carolina, US"
North Carolina,Granville,2017,243,0.8641975308641975,0.13580246913580246,0.0,0.0,0.0,0.0,93,51,43,0.0,0.0,1.0,0.0,0.0,0.0,"Granville, North Carolina, US"
North Carolina,Guilford,2017,365,0.7917808219178082,0.2054794520547945,0.0027397260273972607,0.0,0.0,0.0,112,59,42,0.0,0.0,0.5506849315068493,0.0,0.40821917808219177,0.0410958904109589,"Guilford, North Carolina, US"
North Carolina,Haywood,2017,361,0.6177285318559557,0.2631578947368421,0.10526315789473684,0.013850415512465374,0.0,0.0,183,105,46,0.0,0.0,0.4875346260387812,0.4570637119113574,0.05540166204986149,0.0,"Haywood, North Carolina, US"
North Carolina,Johnston,2017,365,0.7917808219178082,0.20821917808219176,0.0,0.0,0.0,0.0,93,56,40,0.0,0.0,0.4383561643835616,0.0,0.5616438356164384,0.0,"Johnston, North Carolina, US"
North Carolina,Lenoir,2017,304,0.9177631578947368,0.08223684210526316,0.0,0.0,0.0,0.0,90,50,35,0.0,0.0,0.7894736842105263,0.0,0.0,0.21052631578947367,"Lenoir, North Carolina, US"
North Carolina,Lincoln,2017,238,0.8697478991596639,0.13025210084033614,0.0,0.0,0.0,0.0,93,54,42,0.0,0.0,1.0,0.0,0.0,0.0,"Lincoln, North Carolina, US"
North Carolina,Macon,2017,347,0.9654178674351584,0.0345821325648415,0.0,0.0,0.0,0.0,74,46,33,0.0,0.0,1.0,0.0,0.0,0.0,"Macon, North Carolina, US"
North Carolina,Martin,2017,303,0.9570957095709572,0.0429042904290429,0.0,0.0,0.0,0.0,74,48,34,0.0,0.0,0.8052805280528053,0.19471947194719472,0.0,0.0,"Martin, North Carolina, US"
North Carolina,Mecklenburg,2017,365,0.6246575342465753,0.3671232876712329,0.00821917808219178,0.0,0.0,0.0,115,64,46,0.0,0.0054794520547945215,0.5041095890410959,0.0,0.4904109589041096,0.0,"Mecklenburg, North Carolina, US"
North Carolina,Montgomery,2017,365,0.9397260273972604,0.06027397260273973,0.0,0.0,0.0,0.0,71,49,38,0.0,0.0,0.7397260273972602,0.0,0.2602739726027397,0.0,"Montgomery, North Carolina, US"
North Carolina,New Hanover,2017,365,0.9315068493150684,0.0684931506849315,0.0,0.0,0.0,0.0,67,48,33,0.0,0.0,0.4876712328767123,0.03287671232876712,0.4794520547945205,0.0,"New Hanover, North Carolina, US"
North Carolina,Person,2017,361,0.9362880886426592,0.06094182825484765,0.002770083102493075,0.0,0.0,0.0,110,49,35,0.0,0.0,0.6592797783933518,0.3407202216066482,0.0,0.0,"Person, North Carolina, US"
North Carolina,Pitt,2017,365,0.8575342465753425,0.14246575342465753,0.0,0.0,0.0,0.0,87,54,39,0.0,0.0,0.5178082191780822,0.0,0.4821917808219178,0.0,"Pitt, North Carolina, US"
North Carolina,Rockingham,2017,303,0.8943894389438944,0.1056105610561056,0.0,0.0,0.0,0.0,84,51,39,0.0,0.0,0.7920792079207921,0.2079207920792079,0.0,0.0,"Rockingham, North Carolina, US"
North Carolina,Rowan,2017,355,0.9323943661971832,0.0676056338028169,0.0,0.0,0.0,0.0,80,49,38,0.0,0.0,1.0,0.0,0.0,0.0,"Rowan, North Carolina, US"
North Carolina,Swain,2017,365,0.8465753424657534,0.15342465753424658,0.0,0.0,0.0,0.0,71,53,38,0.0,0.0,0.5068493150684932,0.0,0.4931506849315068,0.0,"Swain, North Carolina, US"
North Carolina,Union,2017,236,0.8644067796610171,0.13135593220338984,0.00423728813559322,0.0,0.0,0.0,115,58,43,0.0,0.0,1.0,0.0,0.0,0.0,"Union, North Carolina, US"
North Carolina,Wake,2017,365,0.6904109589041096,0.3095890410958904,0.0,0.0,0.0,0.0,100,61,44,0.0,0.0136986301369863,0.4410958904109589,0.0,0.5452054794520548,0.0,"Wake, North Carolina, US"
North Carolina,Yancey,2017,202,0.7673267326732673,0.2326732673267327,0.0,0.0,0.0,0.0,93,61,44,0.0,0.0,1.0,0.0,0.0,0.0,"Yancey, North Carolina, US"
North Dakota,Billings,2017,364,0.8928571428571429,0.10164835164835163,0.0027472527472527475,0.0027472527472527475,0.0,0.0,154,51,37,0.0,0.0,0.9175824175824177,0.0,0.08241758241758243,0.0,"Billings, North Dakota, US"
North Dakota,Burke,2017,363,0.9118457300275482,0.08539944903581267,0.0027548209366391185,0.0,0.0,0.0,135,50,35,0.0,0.0027548209366391185,0.8512396694214877,0.0027548209366391185,0.13774104683195593,0.005509641873278237,"Burke, North Dakota, US"
North Dakota,Burleigh,2017,364,0.8763736263736264,0.1153846153846154,0.005494505494505495,0.0027472527472527475,0.0,0.0,198,52,35,0.0,0.024725274725274724,0.6620879120879121,0.0027472527472527475,0.28296703296703296,0.027472527472527472,"Burleigh, North Dakota, US"
North Dakota,Cass,2017,362,0.8453038674033149,0.15469613259668508,0.0,0.0,0.0,0.0,77,52,38,0.0,0.0027624309392265192,0.4806629834254144,0.0,0.4751381215469613,0.04143646408839779,"Cass, North Dakota, US"
North Dakota,Dunn,2017,330,0.9242424242424242,0.0696969696969697,0.0030303030303030303,0.0030303030303030303,0.0,0.0,155,49,35,0.0,0.0,0.7818181818181819,0.0,0.21818181818181814,0.0,"Dunn, North Dakota, US"
North Dakota,McKenzie,2017,362,0.9005524861878453,0.09392265193370164,0.0027624309392265192,0.0027624309392265192,0.0,0.0,154,50,35,0.0,0.0,0.8011049723756906,0.019337016574585638,0.1712707182320442,0.008287292817679558,"McKenzie, North Dakota, US"
North Dakota,Mercer,2017,365,0.9013698630136986,0.0904109589041096,0.0054794520547945215,0.0027397260273972607,0.0,0.0,157,50,35,0.0,0.0027397260273972607,0.8164383561643835,0.06301369863013699,0.10684931506849316,0.010958904109589041,"Mercer, North Dakota, US"
North Dakota,Oliver,2017,362,0.8867403314917127,0.11049723756906077,0.0,0.0027624309392265192,0.0,0.0,162,53,37,0.0,0.0,0.8149171270718232,0.0027624309392265192,0.18232044198895028,0.0,"Oliver, North Dakota, US"
North Dakota,Williams,2017,365,0.8547945205479452,0.136986301369863,0.00821917808219178,0.0,0.0,0.0,131,54,37,0.0,0.0,0.6767123287671233,0.12876712328767126,0.18356164383561646,0.010958904109589041,"Williams, North Dakota, US"
Ohio,Adams,2017,365,0.9835616438356164,0.01643835616438356,0.0,0.0,0.0,0.0,85,35,23,0.0,0.0,0.0,0.0027397260273972607,0.9972602739726028,0.0,"Adams, Ohio, US"
Ohio,Allen,2017,365,0.8657534246575342,0.13150684931506848,0.0027397260273972607,0.0,0.0,0.0,112,54,37,0.0,0.0,0.6328767123287671,0.0,0.3671232876712329,0.0,"Allen, Ohio, US"
