State,County,CS,GoodDays,ModerateDays,UnhealthyForSensitiveGroupsDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,AQI_Class_KMR,AQI_Class_KMN
Alabama,Baldwin,BaldwinAlabama,0.876604492444868,0.120956434282725,0.00243907327240661,0,0,0,1,1
Alabama,Colbert,ColbertAlabama,0.91597214235451,0.0834368410970266,0.000591016548463357,0,0,0,1,1
Alabama,DeKalb,DeKalbAlabama,0.889765691679667,0.109296244294495,0.00093806402583832,0,0,0,1,1
Alabama,Etowah,EtowahAlabama,0.687626755123413,0.304895659535608,0.00370990152668235,0.00376768381429721,0,0,2,3
Alabama,Houston,HoustonAlabama,0.910648631096963,0.0887582490928356,0.000593119810201661,0,0,0,1,1
Alabama,Jefferson,JeffersonAlabama,0.469168101404796,0.508925318761384,0.0209945854230606,0.000911994410759288,0,0,3,2
Alabama,Madison,MadisonAlabama,0.815894993967969,0.183147884526964,0.000957121505066711,0,0,0,2,1
Alabama,Mobile,MobileAlabama,0.770769944467371,0.221599094849213,0.00763096068341605,0,0,0,2,2
Alabama,Montgomery,MontgomeryAlabama,0.631961256185303,0.364754509905993,0.00234340151752998,0.000459136822773186,0.000481695568400771,0,2,1
Alabama,Morgan,MorganAlabama,0.840943915387257,0.15814284260361,0.00091324200913242,0,0,0,1,1
Alabama,Russell,RussellAlabama,0.721448285470284,0.276975740386141,0.0015759741435756,0,0,0,2,1
Alabama,Shelby,ShelbyAlabama,0.869072655868392,0.120734417649884,0.0101929264817242,0,0,0,1,2
Alabama,Sumter,SumterAlabama,0.909249092306207,0.0902201221311605,0.000530785562632696,0,0,0,1,1
Alabama,Tuscaloosa,TuscaloosaAlabama,0.709897988097273,0.289104988093203,0.00099702380952381,0,0,0,2,1
Arizona,Apache,ApacheArizona,0.995392940227603,0.00460705977239748,0,0,0,0,1,1
Arizona,Cochise,CochiseArizona,0.723393717094593,0.272499189061058,0.00410709384434963,0,0,0,2,1
Arizona,Coconino,CoconinoArizona,0.734146044075239,0.259866720848082,0.00598723507667907,0,0,0,2,2
Arizona,Gila,GilaArizona,0.26701848940789,0.414898819771939,0.266518202460264,0.0515644883599072,0,0,3,3
Arizona,La Paz,La PazArizona,0.771647496891432,0.222340070752101,0.00601243235646695,0,0,0,2,2
Arizona,Maricopa,MaricopaArizona,0.162483469321556,0.711991915562542,0.118219926641216,0.00502283105022831,0.00228185742445792,0,3,3
Arizona,Mohave,MohaveArizona,0.969516926501892,0.0300239366753351,0.000459136822773186,0,0,0,1,1
Arizona,Navajo,NavajoArizona,0.787495713313854,0.209759529022334,0.00274475766381121,0,0,0,2,1
Arizona,Pima,PimaArizona,0.562762931357138,0.424456670908501,0.0127803977343614,0,0,0,3,2
Arizona,Pinal,PinalArizona,0.234151757866108,0.611576465304289,0.113184619607256,0.0182586021907827,0.00502158345185518,0.0178069715797091,3,3
Arizona,Santa Cruz,Santa CruzArizona,0.764727373915983,0.227956605888808,0.00457377834960519,0.00274224184560424,0,0,2,3
Arizona,Yavapai,YavapaiArizona,0.770022814884515,0.223498155147333,0.00647902996815164,0,0,0,2,2
