CS,SpectralClass
PulaskiKentucky,1
SimpsonKentucky,6
TriggKentucky,5
WarrenKentucky,0
WashingtonKentucky,5
AscensionLouisiana,4
BossierLouisiana,0
CaddoLouisiana,3
CalcasieuLouisiana,0
East Baton RougeLouisiana,0
IbervilleLouisiana,3
JeffersonLouisiana,4
LafayetteLouisiana,0
LafourcheLouisiana,4
LivingstonLouisiana,0
OrleansLouisiana,4
OuachitaLouisiana,4
Pointe CoupeeLouisiana,3
St. BernardLouisiana,4
St. JamesLouisiana,0
St. John the BaptistLouisiana,4
St. TammanyLouisiana,4
West Baton RougeLouisiana,0
AndroscogginMaine,0
AroostookMaine,1
CumberlandMaine,0
HancockMaine,1
KennebecMaine,6
OxfordMaine,1
PenobscotMaine,1
WashingtonMaine,1
YorkMaine,1
Anne ArundelMaryland,0
BaltimoreMaryland,0
CalvertMaryland,0
CarrollMaryland,0
CecilMaryland,0
CharlesMaryland,0
DorchesterMaryland,4
FrederickMaryland,0
GarrettMaryland,1
HarfordMaryland,0
HowardMaryland,0
KentMaryland,3
MontgomeryMaryland,0
Prince George'sMaryland,0
WashingtonMaryland,0
BarnstableMassachusetts,4
BerkshireMassachusetts,0
BristolMassachusetts,0
DukesMassachusetts,1
EssexMassachusetts,3
FranklinMassachusetts,0
HampdenMassachusetts,3
HampshireMassachusetts,0
MiddlesexMassachusetts,3
NorfolkMassachusetts,3
PlymouthMassachusetts,3
SuffolkMassachusetts,0
WorcesterMassachusetts,0
AlleganMichigan,6
BayMichigan,0
BerrienMichigan,0
ClintonMichigan,6
GeneseeMichigan,0
InghamMichigan,6
KalamazooMichigan,0
KentMichigan,0
LenaweeMichigan,6
MacombMichigan,4
ManisteeMichigan,1
MissaukeeMichigan,6
MonroeMichigan,0
OaklandMichigan,4
SchoolcraftMichigan,4
St. ClairMichigan,1
TuscolaMichigan,0
WashtenawMichigan,0
WayneMichigan,4
WexfordMichigan,1
AnokaMinnesota,0
BeckerMinnesota,6
CarltonMinnesota,6
CookMinnesota,1
Crow WingMinnesota,5
DakotaMinnesota,0
GoodhueMinnesota,6
HennepinMinnesota,0
LakeMinnesota,5
LyonMinnesota,4
OlmstedMinnesota,4
RamseyMinnesota,4
ScottMinnesota,0
StearnsMinnesota,0
WashingtonMinnesota,0
WrightMinnesota,4
BolivarMississippi,0
DeSotoMississippi,4
ForrestMississippi,0
HancockMississippi,6
HarrisonMississippi,6
HindsMississippi,4
JacksonMississippi,6
LauderdaleMississippi,3
LeeMississippi,4
YalobushaMississippi,0
AndrewMissouri,5
BooneMissouri,5
BuchananMissouri,0
CallawayMissouri,1
CassMissouri,1
CedarMissouri,1
ClayMissouri,5
ClintonMissouri,1
GreeneMissouri,1
IronMissouri,1
JacksonMissouri,5
JeffersonMissouri,6
LincolnMissouri,6
MonroeMissouri,1
PerryMissouri,0
St. Louis CityMissouri,3
CascadeMontana,1
FergusMontana,1
FlatheadMontana,1
GallatinMontana,1
Lewis and ClarkMontana,1
LincolnMontana,1
MissoulaMontana,1
RavalliMontana,1
RichlandMontana,5
RosebudMontana,5
Silver BowMontana,1
