GEO_ID,NAME,S2701_C01_001E,S2701_C02_001E,S2701_C03_001E,S2701_C03_001M,S2701_C04_001E,S2701_C05_001E
id,Geographic Area Name,Estimate!!Total!!Civilian noninstitutionalized population,Estimate!!Insured!!Civilian noninstitutionalized population,Estimate!!Percent Insured!!Civilian noninstitutionalized population,Margin of Error!!Percent Insured MOE!!Civilian noninstitutionalized population,Estimate!!Uninsured!!Civilian noninstitutionalized population,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population
0500000US53027,"Grays Harbor County, Washington",70718,64979,91.9,2.1,5739,8.1
0500000US72139,"Trujillo Alto Municipio, Puerto Rico",63408,57933,91.4,2.3,5475,8.6
0500000US05031,"Craighead County, Arkansas",107661,98038,91.1,1.7,9623,8.9
0500000US06071,"San Bernardino County, California",2129783,1943706,91.3,0.5,186077,8.7
0500000US12099,"Palm Beach County, Florida",1473240,1271166,86.3,0.8,202074,13.7
0500000US12107,"Putnam County, Florida",73177,59384,81.2,3,13793,18.8
0500000US13117,"Forsyth County, Georgia",236025,214993,91.1,1.9,21032,8.9
0500000US13121,"Fulton County, Georgia",1041199,926584,89,0.9,114615,11
0500000US17097,"Lake County, Illinois",683953,641350,93.8,0.6,42603,6.2
0500000US20173,"Sedgwick County, Kansas",507961,452157,89,1,55804,11
0500000US26005,"Allegan County, Michigan",116315,113069,97.2,0.9,3246,2.8
0500000US26081,"Kent County, Michigan",649282,614897,94.7,0.6,34385,5.3
0500000US29037,"Cass County, Missouri",104262,95088,91.2,2.1,9174,8.8
0500000US29189,"St. Louis County, Missouri",984666,922369,93.7,0.6,62297,6.3
0500000US34005,"Burlington County, New Jersey",429358,411774,95.9,0.7,17584,4.1
0500000US34007,"Camden County, New Jersey",501687,465899,92.9,1.1,35788,7.1
0500000US35035,"Otero County, New Mexico",61217,55806,91.2,2.7,5411,8.8
0500000US37071,"Gaston County, North Carolina",220699,198608,90,1.4,22091,10
0500000US37171,"Surry County, North Carolina",71195,62710,88.1,2.9,8485,11.9
0500000US42091,"Montgomery County, Pennsylvania",815035,786872,96.5,0.4,28163,3.5
0500000US46099,"Minnehaha County, South Dakota",189856,174638,92,1.4,15218,8
0500000US47149,"Rutherford County, Tennessee",322294,293336,91,1.4,28958,9
0500000US47187,"Williamson County, Tennessee",231238,222113,96.1,1.2,9125,3.9
0500000US48183,"Gregg County, Texas",121735,99453,81.7,2.7,22282,18.3
0500000US48347,"Nacogdoches County, Texas",64924,54839,84.5,3.2,10085,15.5
0500000US48439,"Tarrant County, Texas",2068666,1712475,82.8,0.7,356191,17.2
0500000US51069,"Frederick County, Virginia",87305,79392,90.9,2.1,7913,9.1
0500000US55089,"Ozaukee County, Wisconsin",88681,86012,97,1.3,2669,3
0500000US55133,"Waukesha County, Wisconsin",400321,389668,97.3,0.6,10653,2.7
0500000US06065,"Riverside County, California",2428069,2231850,91.9,0.5,196219,8.1
0500000US06085,"Santa Clara County, California",1927339,1847741,95.9,0.4,79598,4.1
0500000US06099,"Stanislaus County, California",547120,518253,94.7,0.7,28867,5.3
0500000US08101,"Pueblo County, Colorado",164346,152840,93,1.1,11506,7
0500000US12053,"Hernando County, Florida",188954,164472,87,2,24482,13
0500000US12101,"Pasco County, Florida",532897,470548,88.3,1,62349,11.7
0500000US12115,"Sarasota County, Florida",422959,371703,87.9,1.8,51256,12.1
0500000US12119,"Sumter County, Florida",119539,112516,94.1,1.5,7023,5.9
0500000US18011,"Boone County, Indiana",66009,62670,94.9,2.2,3339,5.1
0500000US26091,"Lenawee County, Michigan",95104,91242,95.9,1.2,3862,4.1
0500000US29183,"St. Charles County, Missouri",397153,379784,95.6,0.8,17369,4.4
0500000US29187,"St. Francois County, Missouri",60045,55064,91.7,2.4,4981,8.3
0500000US36059,"Nassau County, New York",1348465,1296234,96.1,0.4,52231,3.9
0500000US36071,"Orange County, New York",373439,353864,94.8,0.9,19575,5.2
0500000US37133,"Onslow County, North Carolina",160301,145416,90.7,2,14885,9.3
0500000US39113,"Montgomery County, Ohio",524479,487917,93,1,36562,7
0500000US45045,"Greenville County, South Carolina",510145,447233,87.7,1.2,62912,12.3
0500000US47059,"Greene County, Tennessee",67713,60270,89,3.4,7443,11
0500000US48041,"Brazos County, Texas",221744,194956,87.9,1.8,26788,12.1
0500000US48209,"Hays County, Texas",220797,184671,83.6,2.3,36126,16.4
0500000US51059,"Fairfax County, Virginia",1138031,1047078,92,0.7,90953,8
0500000US12081,"Manatee County, Florida",391599,339741,86.8,1.5,51858,13.2
0500000US13057,"Cherokee County, Georgia",252943,223042,88.2,1.9,29901,11.8
0500000US13215,"Muscogee County, Georgia",184964,161329,87.2,2,23635,12.8
0500000US15001,"Hawaii County, Hawaii",199697,187948,94.1,1.3,11749,5.9
0500000US18127,"Porter County, Indiana",167859,156798,93.4,1.3,11061,6.6
0500000US22057,"Lafourche Parish, Louisiana",97365,92200,94.7,1.5,5165,5.3
0500000US24510,"Baltimore city, Maryland",594492,557777,93.8,0.6,36715,6.2
0500000US36083,"Rensselaer County, New York",157624,151971,96.4,0.8,5653,3.6
